,inner_loss,inner_loss_b,inner_loss_f
41,[0.00909005 0.00896043 0.00883527 0.00871431 0.0085973  0.00848401],"[6.55452919e-05 6.12659994e-05 5.73057682e-05 5.36413921e-05
 5.02506539e-05 4.71143073e-05]",[0.0084346  0.00834777 0.00826221 0.0081779  0.00809479 0.00801287]
42,[0.01819258 0.01778066 0.01739609 0.01703604 0.016698   0.01637979],"[3.70175634e-05 3.66569196e-05 3.67287102e-05 3.71577534e-05
 3.78787522e-05 3.88362919e-05]",[0.01782241 0.01741409 0.0170288  0.01666446 0.01631922 0.01599143]
43,[0.01157326 0.01135716 0.01115234 0.01095786 0.01077287 0.01059661],"[6.64995209e-05 6.26522068e-05 5.92321119e-05 5.61947385e-05
 5.35001529e-05 5.11120980e-05]",[0.01090827 0.01073064 0.01056002 0.01039591 0.01023787 0.01008548]
44,[0.015653   0.01535027 0.0150671  0.01480155 0.01455189 0.01431658],"[5.54379980e-05 5.31102126e-05 5.12447481e-05 4.97764744e-05
 4.86481532e-05 4.78103978e-05]",[0.01509862 0.01481917 0.01455466 0.01430378 0.0140654  0.01383848]
45,[0.01666148 0.01643653 0.01622262 0.01601887 0.01582453 0.01563885],"[9.18801521e-05 8.68859665e-05 8.24067765e-05 7.83917674e-05
 7.47971058e-05 7.15806244e-05]",[0.01574268 0.01556767 0.01539855 0.01523496 0.01507656 0.01492304]
46,[0.01125563 0.01104473 0.01084482 0.01065506 0.01047464 0.01030287],"[4.57479414e-05 4.42007522e-05 4.29712280e-05 4.20207668e-05
 4.13152366e-05 4.08236997e-05]",[0.01079815 0.01060272 0.01041511 0.01023485 0.01006149 0.00989464]
47,[0.01215664 0.01201505 0.01187863 0.01174704 0.01161997 0.0114971 ],"[7.09936497e-05 6.67189397e-05 6.27835324e-05 5.91613845e-05
 5.58273918e-05 5.27588076e-05]",[0.01144671 0.01134786 0.0112508  0.01115542 0.01106169 0.01096951]
48,[0.00506567 0.00498903 0.0049154  0.0048446  0.00477645 0.0047108 ],"[4.40643118e-05 4.11994626e-05 3.85519974e-05 3.61065529e-05
 3.38478845e-05 3.17621671e-05]",[0.00462502 0.00457704 0.00452988 0.00448353 0.00443797 0.00439318]
49,[0.01026078 0.01006084 0.00987106 0.00969064 0.00951888 0.00935511],"[4.09616525e-05 3.86696746e-05 3.67101196e-05 3.50466294e-05
 3.36463572e-05 3.24799771e-05]",[0.00985116 0.00967414 0.00950396 0.00934017 0.00918241 0.00903031]
50,[0.01180125 0.01164026 0.01148459 0.01133391 0.01118792 0.01104635],"[6.11145857e-05 5.81002490e-05 5.53297423e-05 5.27819256e-05
 5.04388322e-05 4.82835628e-05]",[0.01119011 0.01105926 0.01093129 0.01080609 0.01068354 0.01056351]
51,[0.00932458 0.00921344 0.00910589 0.0090017  0.00890066 0.00880259],"[4.92687931e-05 4.60718954e-05 4.31305768e-05 4.04255494e-05
 3.79376147e-05 3.56499839e-05]",[0.00883189 0.00875272 0.00867458 0.00859745 0.00852129 0.00844609]
52,[0.00917214 0.0089897  0.0088161  0.00865069 0.00849288 0.00834216],"[6.62007102e-05 6.22551245e-05 5.87053558e-05 5.55148820e-05
 5.26502764e-05 5.00819216e-05]",[0.00851014 0.00836715 0.00822905 0.00809554 0.00796638 0.00784134]
53,[0.01819712 0.01771532 0.01727002 0.01685738 0.01647403 0.01611697],"[6.51607447e-05 6.28197142e-05 6.11935079e-05 6.01682650e-05
 5.96467627e-05 5.95442780e-05]",[0.01754551 0.01708712 0.01665809 0.0162557  0.01587756 0.01552153]
54,[0.0081304  0.00791004 0.00770519 0.00751428 0.00733593 0.00716895],"[4.13445296e-05 3.97329861e-05 3.84585081e-05 3.74722411e-05
 3.67328203e-05 3.62026627e-05]",[0.00771696 0.00751271 0.0073206  0.00713955 0.0069686  0.00680692]
55,[0.01899844 0.01849819 0.01803642 0.01760892 0.01721201 0.01684248],[0.00014069 0.00013104 0.00012261 0.00011526 0.00010885 0.00010326],[0.01759153 0.01718781 0.0168103  0.01645634 0.01612356 0.01580988]
56,[0.00893205 0.00881714 0.00870675 0.0086006  0.00849838 0.00839984],"[3.25233309e-05 3.08681466e-05 2.93923938e-05 2.80797100e-05
 2.69140305e-05 2.58814086e-05]",[0.00860682 0.00850846 0.00841283 0.00831981 0.00822924 0.00814102]
57,[0.01491132 0.01474551 0.01458461 0.01442828 0.01427625 0.01412824],"[6.79907811e-05 6.31630316e-05 5.87140037e-05 5.46150045e-05
 5.08394271e-05 4.73624928e-05]",[0.01423141 0.01411388 0.01399747 0.01388213 0.01376786 0.01365462]
58,[0.00755762 0.00743897 0.00732542 0.00721662 0.00711228 0.00701208],"[5.74601346e-05 5.35169702e-05 4.99120928e-05 4.66188435e-05
 4.36121155e-05 4.08682847e-05]",[0.00698301 0.0069038  0.0068263  0.00675043 0.00667616 0.0066034 ]
59,[0.00625072 0.00615182 0.00605756 0.0059676  0.00588163 0.00579939],"[4.88806293e-05 4.53246308e-05 4.20957377e-05 3.91657602e-05
 3.65089179e-05 3.41014831e-05]",[0.00576191 0.00569858 0.0056366  0.00557594 0.00551654 0.00545837]
60,[0.00877504 0.00861875 0.00846976 0.00832752 0.00819154 0.00806136],"[5.49123577e-05 5.21487907e-05 4.96648472e-05 4.74330168e-05
 4.54284360e-05 4.36284072e-05]",[0.00822592 0.00809726 0.00797311 0.00785319 0.00773725 0.00762508]
61,[0.00817373 0.00804845 0.00792772 0.00781127 0.00769887 0.00759027],"[5.51132454e-05 5.13031435e-05 4.77969839e-05 4.45720502e-05
 4.16071947e-05 3.88830886e-05]",[0.0076226  0.00753542 0.00744975 0.00736555 0.00728279 0.00720144]
62,[0.00673216 0.00664564 0.0065629  0.00648368 0.00640776 0.00633491],"[5.86657567e-05 5.47236500e-05 5.10889340e-05 4.77376606e-05
 4.46486946e-05 4.18022446e-05]",[0.0061455  0.0060984  0.00605201 0.00600631 0.00596127 0.00591688]
63,[0.00584748 0.00575435 0.00566504 0.00557931 0.00549694 0.00541773],"[6.19343167e-05 5.80367635e-05 5.44268817e-05 5.10831925e-05
 4.79871190e-05 4.51198538e-05]",[0.00522814 0.00517398 0.00512078 0.00506848 0.00501707 0.00496653]
64,[0.01215609 0.01197496 0.01180318 0.01163993 0.01148448 0.01133619],"[2.49883581e-05 2.34460781e-05 2.21878501e-05 2.11772573e-05
 2.03821551e-05 1.97741388e-05]",[0.01190621 0.0117405  0.0115813  0.01142815 0.01128066 0.01113845]
65,[0.01150493 0.01123675 0.01098756 0.01075539 0.01053848 0.01033531],"[4.99625374e-05 4.87064649e-05 4.77897222e-05 4.71573947e-05
 4.67628789e-05 4.65646944e-05]",[0.01100531 0.01074969 0.01050967 0.01028381 0.01007085 0.00986966]
66,[0.01610689 0.01579746 0.01550952 0.01524079 0.01498921 0.01475302],"[3.82172735e-05 3.58176243e-05 3.39924035e-05 3.26547607e-05
 3.17293176e-05 3.11512965e-05]",[0.01572472 0.01543928 0.0151696  0.01491424 0.01467192 0.01444151]
67,[0.0087613  0.00862384 0.0084926  0.00836719 0.00824723 0.00813234],"[7.94306940e-05 7.35888949e-05 6.82180188e-05 6.32822858e-05
 5.87480379e-05 5.45835674e-05]",[0.00796699 0.00788795 0.00781042 0.00773437 0.00765975 0.0075865 ]
68,[0.0059177  0.00578724 0.0056644  0.00554853 0.00543907 0.00533551],"[3.53893847e-05 3.31193771e-05 3.11498066e-05 2.94481839e-05
 2.79855901e-05 2.67354000e-05]",[0.0055638  0.00545605 0.0053529  0.00525404 0.00515921 0.00506816]
69,[0.01374714 0.01352624 0.01331576 0.01311493 0.01292303 0.0127394 ],"[5.80566745e-05 5.44920058e-05 5.13629453e-05 4.86255987e-05
 4.62399061e-05 4.41696609e-05]",[0.01316658 0.01298132 0.01280213 0.01262868 0.01246063 0.0122977 ]
70,[0.0169341  0.01653618 0.01616388 0.01581491 0.0154872  0.01517884],"[8.03419841e-05 7.90281748e-05 7.82548375e-05 7.79437782e-05
 7.80229199e-05 7.84313026e-05]",[0.01613068 0.0157459  0.01538134 0.01503548 0.01470697 0.01439453]
71,[0.01272789 0.0125313  0.01234298 0.01216237 0.0119889  0.01182211],"[4.72036119e-05 4.53221194e-05 4.37077977e-05 4.23331694e-05
 4.11734079e-05 4.02060954e-05]",[0.01225585 0.01207808 0.01190591 0.01173903 0.01157717 0.01142005]
72,[0.00340671 0.00335036 0.00329618 0.00324404 0.00319382 0.00314541],"[4.68443614e-05 4.41084244e-05 4.15537341e-05 3.91681503e-05
 3.69402642e-05 3.48591894e-05]",[0.00293826 0.00290928 0.00288064 0.00285236 0.00282442 0.00279682]
73,[0.00441406 0.00434822 0.00428458 0.00422302 0.00416342 0.00410567],"[3.33438957e-05 3.14563554e-05 2.97072611e-05 2.80866049e-05
 2.65846407e-05 2.51928541e-05]",[0.00408062 0.00403365 0.0039875  0.00394215 0.00389757 0.00385374]
74,[0.01992271 0.01936001 0.01884571 0.0183746  0.01794205 0.01754395],"[2.86359553e-05 2.75169978e-05 2.74407371e-05 2.82282634e-05
 2.97239200e-05 3.17940909e-05]",[0.01963635 0.01908484 0.0185713  0.01809232 0.01764481 0.01722601]
