,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f
37,[0.47445022 0.43302197 0.39876273 0.37041312 0.34695197 0.32754271],[0.47018067 0.42769506 0.39074383 0.35850913 0.33031935 0.30561566],[0.00343787 0.00448895 0.00717116 0.01104347 0.01575673 0.02103355],[0.00083168 0.00083796 0.00084774 0.00086053 0.0008759  0.0008935 ]
38,[0.45144195 0.41200283 0.37941616 0.35245731 0.33014014 0.31166183],[0.44668679 0.40639174 0.37139128 0.34088444 0.31421777 0.29085098],[0.0038543  0.0046896  0.00707967 0.01060142 0.0149225  0.01978075],[0.00090085 0.0009215  0.0009452  0.00097146 0.00099987 0.0010301 ]
39,[0.54082839 0.49346539 0.45426486 0.42179726 0.39490392 0.3726356 ],[0.53555286 0.48710807 0.4449523  0.40815742 0.37596218 0.34773358],[0.00425799 0.00531781 0.0082473  0.01254557 0.01781566 0.0237417 ],[0.00101754 0.0010395  0.00106526 0.00109426 0.00112608 0.00116031]
40,[0.51778829 0.47270801 0.43539579 0.40448943 0.37888432 0.35767559],[0.51181242 0.46562937 0.42544447 0.39037201 0.35968453 0.33277674],[0.00484358 0.00591797 0.00875781 0.01288728 0.01792981 0.02358632],[0.00113228 0.00116066 0.00119352 0.00123014 0.00126998 0.00131253]
41,[0.48884701 0.44636665 0.4112213  0.38211681 0.35800647 0.33803479],[0.48218931 0.43870717 0.40088975 0.36789381 0.33902859 0.31372075],[0.00540998 0.00637269 0.00900134 0.01284576 0.01755056 0.02283412],[0.00124772 0.00128679 0.00133021 0.00137724 0.00142732 0.00147993]
42,[0.50087666 0.45725124 0.42110444 0.39114136 0.36630793 0.34573727],[0.4934208  0.44868023 0.40970738 0.37566402 0.34585953 0.31971722],[0.00613901 0.00723493 0.01003575 0.01408564 0.01902187 0.02455482],[0.00131685 0.00133608 0.00136131 0.00139169 0.00142654 0.00146523]
43,[0.48489043 0.44259511 0.40753235 0.37846036 0.35436534 0.33441113],[0.47635775 0.43301594 0.39523899 0.36222698 0.33331913 0.30796223],[0.00699639 0.00802836 0.01072072 0.01463254 0.01941157 0.02477561],[0.00153629 0.0015508  0.00157264 0.00160084 0.00163463 0.0016733 ]
44,[0.46293745 0.422811   0.38952125 0.36191702 0.33904931 0.32012923],[0.45340559 0.41204883 0.37595939 0.34440205 0.31676287 0.29252304],[0.00782558 0.00907684 0.01188755 0.0158429  0.02060883 0.02591614],[0.00170628 0.00168533 0.00167431 0.00167207 0.00167761 0.00169005]
45,[0.46560416 0.42517127 0.39170252 0.36398093 0.3410188  0.32200609],[0.45489415 0.41342914 0.37734456 0.34585009 0.31829617 0.29414181],[0.00888962 0.00988304 0.01245115 0.01616868 0.02069866 0.02577307],[0.00182039 0.00185909 0.00190681 0.00196216 0.00202396 0.0020912 ]
46,[0.46238022 0.42220871 0.38892119 0.36134601 0.3385212  0.31964977],[0.45058078 0.40923511 0.37319432 0.34170806 0.31415236 0.29000186],[0.00983986 0.01100804 0.01374215 0.01762271 0.02231326 0.02754359],[0.00195957 0.00196556 0.00198472 0.00201524 0.00205557 0.00210432]
47,[0.42538077 0.38838938 0.35778642 0.33246673 0.31152802 0.29422648],[0.41226585 0.37428134 0.34122497 0.31238503 0.28717286 0.26509526],[0.0110641  0.0120405  0.0144672  0.01795227 0.02218331 0.02691087],[0.00205083 0.00206754 0.00209425 0.00212944 0.00217185 0.00222035]
48,[0.47901731 0.43704704 0.40233404 0.37362409 0.34989337 0.3302975 ],[0.46417101 0.42104555 0.38351613 0.35077677 0.32216131 0.29711151],[0.01263319 0.01375948 0.01653298 0.02050733 0.02532656 0.03070604],[0.00221311 0.00224201 0.00228493 0.00233998 0.00240549 0.00247996]
49,[0.42741112 0.38982071 0.35876611 0.33311347 0.31193681 0.29447247],[0.41109013 0.37253362 0.3390152  0.30980703 0.28430669 0.26200894],[0.01386297 0.01480835 0.01723777 0.02074719 0.02501472 0.02978349],[0.00245802 0.00247874 0.00251314 0.00255925 0.0026154  0.00268004]
50,[0.43241485 0.39467241 0.36351987 0.33780855 0.3166016  0.2991273 ],[0.41377197 0.37492459 0.34117059 0.31177133 0.2861163  0.26369404],[0.01616731 0.01720789 0.01973273 0.02333397 0.02768714 0.03253363],[0.00247557 0.00253993 0.00261655 0.00270325 0.00279816 0.00289963]
51,[0.48390098 0.44142499 0.40641255 0.37756382 0.35381589 0.33429144],[0.46261914 0.41875565 0.3806693  0.34752733 0.31863906 0.29342411],[0.01831442 0.01970367 0.02275636 0.02700887 0.03209197 0.03771137],[0.00296742 0.00296567 0.00298689 0.00302762 0.00308487 0.00315596]
52,[0.38456775 0.35098566 0.32338263 0.30068346 0.28201883 0.26667859],[0.36117789 0.3267498  0.29695136 0.27108739 0.24858742 0.22897687],[0.0204983  0.02131919 0.0234705  0.02657559 0.03033847 0.03452609],[0.00289156 0.00291666 0.00296077 0.00302048 0.00309294 0.00317563]
53,[0.4186056  0.38214388 0.35222882 0.32765696 0.30746397 0.29086827],[0.39267398 0.35527704 0.32296726 0.29495896 0.27061299 0.24940189],[0.02276874 0.02356273 0.02580161 0.02907136 0.03304987 0.03748574],[0.00316288 0.0033041  0.00345994 0.00362665 0.00380111 0.00398065]
54,[0.39875259 0.36395726 0.33545279 0.3120901  0.29294273 0.27725621],[0.36986859 0.33406249 0.30315183 0.27639122 0.25316984 0.23298038],[0.02585792 0.02674041 0.02899951 0.03223628 0.03613908 0.04046416],[0.00302608 0.00315436 0.00330145 0.0034626  0.00363382 0.00381167]
55,[0.40035959 0.36548842 0.33694008 0.31355939 0.29441504 0.27874811],[0.36854296 0.33265929 0.30169463 0.27490113 0.25166632 0.23148135],[0.0287484  0.02972519 0.03207592 0.03539898 0.03938037 0.04377431],[0.00306823 0.00310394 0.00316952 0.00325928 0.00336836 0.00349245]
56,[0.43426966 0.39618569 0.36500995 0.33950062 0.31864873 0.30162608],[0.40006884 0.36062858 0.32656801 0.29708963 0.27153541 0.24935447],[0.03085144 0.03226541 0.03516635 0.03911648 0.0437706  0.04885656],[0.00334937 0.00329171 0.0032756  0.0032945  0.00334272 0.00341505]
57,[0.43035278 0.39233148 0.36132268 0.33602271 0.31538488 0.29855933],[0.39204686 0.35304862 0.31950309 0.29056679 0.26555145 0.24388687],[0.03449699 0.03525556 0.03754751 0.04092055 0.04502285 0.04958042],[0.00380893 0.0040273  0.00427208 0.00453537 0.00481058 0.00509205]
58,[0.43014534 0.39232661 0.36142976 0.33620804 0.31564598 0.29890865],[0.38928995 0.35016152 0.31643113 0.28729979 0.26210578 0.2402935 ],[0.03683168 0.03815385 0.0409545  0.04479376 0.04932479 0.05427454],[0.00402371 0.00401123 0.00404412 0.00411449 0.00421541 0.00434062]
59,[0.39451294 0.36054805 0.33285469 0.31029446 0.29193903 0.27702521],[0.34936152 0.31411251 0.28378376 0.25764409 0.23508621 0.21559935],[0.04108174 0.04242831 0.04507068 0.04861231 0.05274134 0.05721343],[0.00406969 0.00400723 0.00400025 0.00403806 0.00411148 0.00421243]
60,[0.40174661 0.36688275 0.33850195 0.31538924 0.29656883 0.28124877],[0.35284182 0.31716767 0.28655928 0.26022763 0.23752805 0.21792608],[0.04439956 0.04517896 0.04732959 0.05043521 0.054173   0.05829276],[0.00450523 0.00453612 0.00461308 0.00472639 0.00486778 0.00502992]
61,[0.48600793 0.44348946 0.40889519 0.38075635 0.35788629 0.33931677],[0.43297316 0.3890607  0.35135256 0.31890034 0.2909244  0.26677457],[0.04820575 0.04965942 0.052746   0.05696294 0.06191847 0.06730783],[0.00482901 0.00476934 0.00479662 0.00489307 0.00504343 0.00523437]
62,[0.36084298 0.3301566  0.3052094  0.28493638 0.26847375 0.25511512],[0.30577558 0.27430254 0.2473308  0.22417428 0.20426554 0.18712938],[0.05086516 0.05176891 0.05384414 0.05672559 0.0601283  0.06383096],[0.00420224 0.00408516 0.00403445 0.00403651 0.0040799  0.00415478]
63,[0.39692316 0.36301477 0.3354212  0.3129706  0.29471395 0.27987596],[0.33636257 0.30166378 0.27192157 0.2463788  0.22441066 0.20549462],[0.05607261 0.05703649 0.05927851 0.06239946 0.06608837 0.07010395],[0.00448799 0.00431449 0.00422113 0.00419234 0.00421491 0.00427739]
64,[0.39958379 0.36598596 0.33875396 0.31666892 0.29875393 0.28421841],[0.3354239  0.30102434 0.2716425  0.24648437 0.22490109 0.20635481],[0.05874621 0.05951993 0.06156577 0.06447944 0.06794972 0.0717379 ],[0.00541368 0.00544169 0.00554568 0.00570511 0.00590312 0.0061257 ]
65,[0.40577678 0.37132161 0.34341662 0.32079309 0.30244076 0.28754613],[0.33864552 0.30372047 0.2739277  0.24843978 0.22658555 0.20781206],[0.0624568  0.06276129 0.06441382 0.06699324 0.07017702 0.07371854],[0.00467446 0.00483985 0.00507509 0.00536007 0.00567819 0.00601554]
66,[0.39605271 0.36271738 0.3356628  0.3137032  0.29588115 0.28141735],[0.32580837 0.29190415 0.26294413 0.238159   0.21691487 0.19868277],[0.06487603 0.06545461 0.06730142 0.07001662 0.07329065 0.07688501],[0.00536831 0.00535862 0.00541726 0.00552757 0.00567563 0.00584957]
67,[0.37828695 0.34667198 0.3210206  0.30021345 0.28334305 0.2696681 ],[0.30661307 0.27447101 0.2470203  0.22353896 0.20342932 0.18619035],[0.06718112 0.06775178 0.06951468 0.07209141 0.07518816 0.07857829],[0.00449276 0.00444919 0.00448563 0.00458308 0.00472556 0.00489946]
68,[0.41506897 0.37990897 0.35141199 0.32830647 0.30956967 0.29437161],[0.34104699 0.30531305 0.27483595 0.24878829 0.22649067 0.20737766],[0.06944685 0.07010361 0.07206819 0.07492081 0.07833795 0.08207158],[0.00457512 0.00449231 0.00450785 0.00459738 0.00474105 0.00492237]
69,[0.42817098 0.3923394  0.36324837 0.33961025 0.32039387 0.30476508],[0.35187711 0.31552274 0.2844866  0.25792607 0.23515278 0.21559627],[0.07088613 0.07132748 0.07311748 0.07583209 0.07914509 0.08280619],[0.00540775 0.00548919 0.00564429 0.00585208 0.00609601 0.00636262]
70,[0.42131498 0.38626345 0.35780173 0.33468638 0.31591354 0.30066607],[0.3453274  0.30955291 0.27899369 0.25283866 0.2304194  0.21117789],[0.07142918 0.07210011 0.07407088 0.07692943 0.08035701 0.0841084 ],[0.0045584  0.00461042 0.00473716 0.00491828 0.00513713 0.00537979]
71,[0.42206237 0.38681952 0.35812831 0.33476875 0.31575247 0.30027188],[0.3464856  0.31064206 0.27996908 0.25367535 0.2311065  0.21171423],[0.07102163 0.07159384 0.07346383 0.07622629 0.07956589 0.08323863],[0.00455514 0.00458362 0.00469539 0.00486711 0.00508008 0.00531902]
72,[0.39439822 0.36213961 0.33579524 0.3142907  0.29674685 0.2824396 ],[0.31952253 0.28666073 0.25848106 0.23428493 0.21348909 0.19560127],[0.07056338 0.07126601 0.07312671 0.07578443 0.07895609 0.0824213 ],[0.00431231 0.00421287 0.00418747 0.00422134 0.00430166 0.00441703]
73,[0.37216225 0.3418908  0.31712357 0.29687858 0.2803461  0.26685497],[0.29831033 0.26760787 0.24124049 0.21857628 0.19908339 0.18230982],[0.06993372 0.07050945 0.07217292 0.07458988 0.07749635 0.08068553],[0.0039182  0.00377347 0.00371016 0.00371242 0.00376636 0.00385961]
74,[0.45965541 0.42198117 0.39115072 0.36592008 0.34527762 0.32839362],[0.38722793 0.34847549 0.31514255 0.28641708 0.26162603 0.24020432],[0.068637   0.06961881 0.07194665 0.07520927 0.07908516 0.08332393],[0.00379047 0.00388687 0.00406152 0.00429373 0.00456643 0.00486537]
75,[0.41742618 0.38333678 0.35534489 0.33238696 0.31358202 0.298196  ],[0.34670886 0.31175426 0.28160554 0.25558134 0.23310612 0.21368856],[0.06721346 0.06811222 0.07021514 0.07315996 0.07665838 0.08048264],[0.00350387 0.0034703  0.0035242  0.00364566 0.00381751 0.00402481]
76,[0.39092833 0.35929217 0.33329453 0.3119426  0.2944192  0.28004699],[0.3215471  0.28940113 0.26169227 0.23777878 0.21712255 0.19926724],[0.06626277 0.06683319 0.06852404 0.07100192 0.07400262 0.07731795],[0.00311845 0.00305785 0.00307822 0.0031619  0.00329404 0.00346181]
77,[0.42280987 0.3889516  0.36111222 0.33822892 0.31942876 0.3039897 ],[0.35504734 0.32019578 0.29012015 0.26412782 0.24163881 0.22216211],[0.06426653 0.0651343  0.06718633 0.07006959 0.07350511 0.07727345],[0.00349599 0.00362152 0.00380575 0.00403152 0.00428484 0.00455414]
78,[0.40588133 0.37415492 0.34800612 0.32646699 0.30873874 0.29415756],[0.33926267 0.30652974 0.27821227 0.25368336 0.23241583 0.21396156],[0.06335825 0.0641975  0.06613404 0.0688446  0.07207238 0.07561441],[0.00326042 0.0034277  0.0036598  0.00393904 0.00425052 0.00458159]
79,[0.41146175 0.37847907 0.35122412 0.32872494 0.31017463 0.2948986 ],[0.34678363 0.31302857 0.28376892 0.25838029 0.23633544 0.21718413],[0.06184463 0.06271364 0.06472965 0.06756118 0.07094262 0.07466215],[0.00283348 0.00273685 0.00272555 0.00278347 0.00289657 0.00305232]
80,[0.40623172 0.37454653 0.3483382  0.32666006 0.30873416 0.29391597],[0.34273834 0.31021956 0.28202603 0.25753912 0.23624199 0.21769777],[0.06103677 0.06182257 0.06369752 0.06634722 0.06952233 0.07302559],[0.0024566  0.00250439 0.00261465 0.00277372 0.00296983 0.00319262]
81,[0.4419503  0.40675102 0.37763055 0.35355461 0.33366782 0.31725733],[0.37943572 0.34315177 0.31166609 0.28430677 0.2605088  0.2397915 ],[0.05999199 0.06105813 0.06333531 0.06647557 0.070201   0.07429031],[0.0025226  0.00254112 0.00262916 0.00277226 0.00295803 0.00317551]
82,[0.39855877 0.36700353 0.34080856 0.31908725 0.30109823 0.28621782],[0.33727878 0.30493349 0.27680135 0.25231361 0.23098637 0.21240374],[0.05914165 0.05992446 0.06178954 0.06443266 0.06760823 0.07111902],[0.00213834 0.00214558 0.00221767 0.00234098 0.00250363 0.00269506]
83,[0.42705591 0.39349211 0.36560614 0.34245862 0.32326694 0.30737436],[0.36688305 0.33231379 0.30220669 0.27595703 0.25305289 0.23305598],[0.0582435  0.05921965 0.06133975 0.06428382 0.06779404 0.07166332],[0.00192936 0.00195867 0.00205971 0.00221777 0.00242002 0.00265505]
84,[0.42863627 0.39498324 0.36702566 0.34381337 0.32455785 0.30859955],[0.36830769 0.33372517 0.30362555 0.27739255 0.25450667 0.23452496],[0.05787092 0.05880506 0.06088257 0.06378306 0.06724919 0.07107489],[0.00245766 0.00245301 0.00251753 0.00263776 0.00280199 0.0029997 ]
85,[0.40660299 0.3747688  0.3482714  0.32624473 0.30796241 0.29281135],[0.34688089 0.31406843 0.28545824 0.26049348 0.23869923 0.21966632],[0.05766995 0.05867069 0.06074521 0.06359541 0.06697954 0.07070236],[0.00205215 0.00202969 0.00206795 0.00215584 0.00228365 0.00244267]
86,[0.42065379 0.38792499 0.36070473 0.33809549 0.31934423 0.30381535],[0.36126057 0.32741124 0.29789696 0.27214298 0.24965877 0.23002156],[0.05768157 0.05876762 0.06094928 0.06391932 0.06742911 0.07127841],[0.00171165 0.00174614 0.00185849 0.00203318 0.00225634 0.00251538]
87,[0.37520573 0.34666394 0.3229202  0.30317456 0.28676246 0.27312789],[0.3153136  0.28600237 0.26048311 0.23823579 0.21882101 0.20186361],[0.05776328 0.05845042 0.06008512 0.06240068 0.0651833  0.06826219],[0.00212885 0.00221115 0.00235196 0.0025381  0.00275815 0.00300209]
88,[0.45594736 0.41992441 0.38992049 0.36496655 0.34424652 0.32706915],[0.39607919 0.35873952 0.32614305 0.29767114 0.27279371 0.25105204],[0.05819315 0.05942659 0.06186134 0.06516305 0.06905998 0.07333245],[0.00167501 0.0017583  0.00191609 0.00213236 0.00239282 0.00268466]
