,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f
2456,[0.10260315 0.07962523 0.0546655  0.04563225 0.03869909 0.033161  ],[0.04767234 0.04019425 0.03935485 0.03273663 0.02749637 0.02322578],[0.00176535 0.00741703 0.00700338 0.00634885 0.00582711 0.00540274],[0.05316546 0.03201395 0.00830727 0.00654677 0.00537561 0.00453248]
2457,[0.08567689 0.05135757 0.04193813 0.03535013 0.03041217 0.02651064],[0.04845427 0.0381369  0.03171699 0.02651438 0.02253127 0.01925812],[0.00186171 0.00278695 0.0027176  0.00267143 0.00262026 0.00256324],[0.03536091 0.01043372 0.00750354 0.00616432 0.00526064 0.00468928]
2458,[0.08255938 0.05283474 0.0424512  0.03485759 0.02962611 0.02548045],[0.04494936 0.03789773 0.02997709 0.02572296 0.02100888 0.01836435],[0.00109457 0.00190255 0.00216966 0.00226622 0.00219011 0.00213783],[0.03651545 0.01303446 0.01030446 0.00686841 0.00642712 0.00497827]
2459,[0.07882897 0.05525975 0.0406973  0.0307341  0.02511163 0.02138047],[0.03953655 0.04175793 0.03028677 0.02271663 0.01797612 0.01443774],[0.00162552 0.00298014 0.0027592  0.00271141 0.0026383  0.0026091 ],[0.03766689 0.01052168 0.00765133 0.00530606 0.00449721 0.00433363]
2460,[0.0870106  0.05989303 0.06395957 0.04635283 0.03517099 0.03007007],[0.053348   0.0436486  0.03394679 0.03271163 0.02621782 0.02232521],[0.00182261 0.00255639 0.00232816 0.00256213 0.00242223 0.00234404],[0.03183999 0.01368804 0.02768462 0.01107907 0.00653095 0.00540082]
2461,[0.09463194 0.05791541 0.04806815 0.04390842 0.04144649 0.03316706],[0.05230317 0.04375395 0.0353722  0.03022118 0.02484986 0.0227823 ],[0.00180282 0.00251394 0.00271085 0.00284807 0.0029583  0.00297453],[0.04052595 0.01164752 0.00998509 0.01083917 0.01363834 0.00741023]
2462,[0.07886675 0.05252831 0.0422599  0.03511175 0.02974427 0.02556085],[0.051104   0.03929755 0.03172139 0.02600702 0.02156682 0.01807207],[0.00190075 0.00280394 0.00282653 0.00288937 0.00293299 0.00293514],[0.025862   0.01042683 0.00771199 0.00621536 0.00524446 0.00455364]
2463,[0.08097036 0.07051531 0.06435983 0.04493141 0.03766083 0.03466429],[0.05016658 0.04204902 0.03366472 0.03265396 0.02688127 0.02243498],[0.00172571 0.00399803 0.00487629 0.00444218 0.00405545 0.00381141],[0.02907808 0.02446826 0.02581882 0.00783527 0.00672412 0.0084179 ]
2464,[0.07883836 0.06377915 0.04181871 0.03402703 0.0284064  0.0240253 ],[0.05068029 0.04050488 0.03131557 0.02538244 0.02078273 0.0171766 ],[0.0023305  0.00310058 0.00377534 0.00350405 0.00331677 0.00316391],[0.02582757 0.02017369 0.00672781 0.00514054 0.00430689 0.00368478]
2465,[0.09397762 0.05739723 0.04966052 0.0342629  0.02880528 0.02453733],[0.04856236 0.04002898 0.0317803  0.02582992 0.02134181 0.0177958 ],[0.00314654 0.00432453 0.00451788 0.00430287 0.00392716 0.00361643],[0.04226872 0.01304371 0.01336234 0.0041301  0.00353631 0.0031251 ]
2466,[0.06178596 0.04890963 0.04796153 0.0353845  0.02971648 0.02523726],[0.04355775 0.03494527 0.02817497 0.02573281 0.02147051 0.01797645],[0.00408591 0.00368147 0.00331137 0.00347468 0.00318252 0.00296354],[0.01414231 0.01028289 0.01647519 0.00617701 0.00506345 0.00429728]
2467,[0.07185367 0.06370379 0.0462078  0.03901092 0.03222799 0.02709846],[0.04819269 0.04033683 0.03284515 0.02701698 0.02254351 0.01889369],[0.00495293 0.00443797 0.00442297 0.00428578 0.00404766 0.00394967],[0.01870805 0.018929   0.00893969 0.00770816 0.00563681 0.0042551 ]
2468,[0.07983711 0.05194677 0.04796269 0.05233668 0.04264451 0.02543992],[0.04519517 0.03771166 0.03009394 0.0269531  0.02074479 0.01800589],[0.00634799 0.0059103  0.00501636 0.00471056 0.00428211 0.00384004],[0.02829394 0.00832482 0.01285239 0.02067302 0.01761761 0.00359399]
2469,[0.06621409 0.06293554 0.04446905 0.03662383 0.03071669 0.02630972],[0.03888266 0.03886808 0.03438967 0.02817301 0.02314    0.01945405],[0.00754811 0.0060116  0.00524728 0.00447973 0.0039049  0.00348987],[0.01978332 0.01805586 0.00483211 0.00397109 0.00367179 0.0033658 ]
2470,[0.09209344 0.05888077 0.03989509 0.03257865 0.0273274  0.02325407],[0.03898127 0.03487014 0.02897388 0.02383542 0.01980096 0.01668208],[0.00879746 0.00712679 0.00573255 0.00490052 0.00430719 0.00387784],[0.04431471 0.01688384 0.00518866 0.00384271 0.00321926 0.00269415]
2471,[0.07837671 0.06056556 0.0435633  0.03477762 0.02981585 0.02594329],[0.03978579 0.03587278 0.0278798  0.02398913 0.02043718 0.01755709],[0.00938642 0.00741703 0.00587918 0.00487724 0.00428603 0.00387651],[0.0292045  0.01727574 0.00980431 0.00591124 0.00509264 0.00450969]
2472,[0.0648936  0.05227675 0.04955596 0.03104018 0.02625296 0.02247519],[0.03867298 0.03051808 0.02649775 0.0212869  0.01766659 0.01516067],[0.00909097 0.00682382 0.00528085 0.00429655 0.00363776 0.00317945],[0.01712964 0.01493484 0.01777736 0.00545673 0.00494861 0.00413507]
2473,[0.06710324 0.0539489  0.03959651 0.03230351 0.02721233 0.02324785],[0.04101719 0.03425317 0.02964103 0.02418572 0.01999933 0.01671439],[0.00836995 0.00680314 0.00552061 0.00483263 0.00436929 0.0040257 ],[0.0177161  0.01289259 0.00443487 0.00328516 0.00284371 0.00250775]
2474,[0.09329965 0.06504737 0.04820574 0.04009266 0.03126814 0.02567879],[0.04180286 0.03499856 0.02763674 0.02406542 0.01975066 0.01697983],[0.00711744 0.00632149 0.0062131  0.00532606 0.00453612 0.0040447 ],[0.04437934 0.02372732 0.0143559  0.01070118 0.00698137 0.00465426]
2475,[0.06431588 0.05767612 0.04085818 0.03734637 0.03163335 0.02560925],[0.03915043 0.03426794 0.02861086 0.02395113 0.02047516 0.01781086],[0.00655244 0.00501994 0.00407667 0.00351618 0.00313536 0.00286109],[0.01861301 0.01838824 0.00817065 0.00987906 0.00802282 0.0049373 ]
2476,[0.06475775 0.05859562 0.06140752 0.03100536 0.02584337 0.02189937],[0.03233744 0.02663759 0.02260049 0.01786823 0.01506427 0.01251956],[0.00493653 0.00819244 0.00685749 0.00566842 0.00497109 0.00443449],[0.02748378 0.02376558 0.03194954 0.00746871 0.00580801 0.00494532]
2477,[0.06612867 0.06878087 0.07995214 0.0311032  0.02790957 0.02441384],[0.03251025 0.02897498 0.02463483 0.02025367 0.0174317  0.01474637],[0.00392042 0.00423349 0.00430691 0.00359677 0.00341671 0.00331463],[0.029698   0.03557239 0.05101039 0.00725276 0.00706116 0.00635283]
2478,[0.07253737 0.04730831 0.03690209 0.03054902 0.02577516 0.02201109],[0.03718203 0.03264904 0.02659537 0.02219516 0.01853708 0.01563432],[0.00374539 0.00361813 0.00302097 0.00277406 0.0025855  0.00245607],[0.03160996 0.01104114 0.00728575 0.0055798  0.00465258 0.0039207 ]
2479,[0.06983818 0.0476073  0.03998292 0.03233107 0.02738643 0.02366003],[0.03718958 0.03431449 0.0285518  0.02366101 0.02001207 0.01694941],[0.00303203 0.00307655 0.00272228 0.00264377 0.00252262 0.0024483 ],[0.02961657 0.01021626 0.00870884 0.00602629 0.00485174 0.00426233]
2480,[0.07967622 0.04565286 0.03571137 0.0299575  0.02562163 0.02221322],[0.03738467 0.03008112 0.02480181 0.02061204 0.01698023 0.01446655],[0.00205951 0.00360175 0.0031458  0.0029843  0.00283628 0.00274918],[0.04023205 0.01197    0.00776377 0.00636116 0.00580511 0.00499749]
2481,[0.07668986 0.06988023 0.03779826 0.03091686 0.02598503 0.02214934],[0.03396594 0.03353151 0.02557283 0.02098623 0.01729509 0.01454644],[0.00216336 0.00599316 0.00504193 0.00447374 0.00397859 0.00358493],[0.04056056 0.03035557 0.0071835  0.00545688 0.00471135 0.00401797]
2482,[0.0702057  0.05064241 0.04659357 0.03483614 0.02949192 0.02442858],[0.03752433 0.03416533 0.02903054 0.02342854 0.02074597 0.01745669],[0.0013568  0.00227097 0.00218548 0.00242181 0.00265895 0.00262241],[0.03132458 0.01420611 0.01537755 0.0089858  0.006087   0.00434948]
2483,[0.05860984 0.0629181  0.04775036 0.03449466 0.02806163 0.02341706],[0.0348393  0.02811333 0.03159249 0.02482843 0.01987976 0.0162083 ],[0.00171584 0.00238122 0.0031155  0.0028011  0.00261036 0.00250283],[0.0220547  0.03242355 0.01304237 0.00686513 0.00557151 0.00470592]
2484,[0.07825503 0.0511562  0.04277236 0.03587834 0.03408895 0.02516574],[0.03505416 0.03425676 0.02803824 0.02375333 0.02067211 0.01664739],[0.00152434 0.0026361  0.002019   0.00215849 0.00203276 0.00198146],[0.04167653 0.01426334 0.01271512 0.00996652 0.01138408 0.00653689]
2485,[0.07341167 0.06303494 0.04571335 0.03272627 0.02779658 0.02395498],[0.03491848 0.03220954 0.02466513 0.02160419 0.01817051 0.01545172],[0.00150034 0.00507494 0.00395337 0.00352293 0.00317424 0.00287604],[0.03699285 0.02575046 0.01709486 0.00759916 0.00645183 0.00562722]
2486,[0.06165841 0.04372467 0.03633075 0.02754506 0.0230424  0.01980141],[0.03470556 0.02717507 0.02210986 0.01828894 0.01525406 0.01288846],[0.00185695 0.00303853 0.00264688 0.00256979 0.00243041 0.0023354 ],[0.0250959  0.01351107 0.01157401 0.00668633 0.00535793 0.00457755]
2487,[0.07305317 0.06050174 0.03978096 0.03341996 0.02872604 0.02504966],[0.03734781 0.03254437 0.02824331 0.02392211 0.0201365  0.01737184],[0.00231924 0.00252778 0.00242151 0.00239295 0.00232505 0.00229095],[0.03338612 0.02542959 0.00911614 0.00710489 0.00626449 0.00538687]
2488,[0.06944803 0.05661773 0.04796086 0.03813723 0.03378069 0.02549225],[0.03461173 0.02985529 0.03079931 0.02524635 0.01955091 0.01837781],[0.00245157 0.00333129 0.00334837 0.00333736 0.00317101 0.00299301],[0.03238474 0.02343116 0.01381318 0.00955352 0.01105877 0.00412143]
2489,[0.07121816 0.05032405 0.04606622 0.02969545 0.0250163  0.02141146],[0.03744892 0.03185746 0.02534787 0.02237256 0.01852942 0.01583636],[0.00286249 0.00298995 0.00281839 0.00300979 0.00286728 0.00274989],[0.03090675 0.01547664 0.01789996 0.00431311 0.00361959 0.00282521]
2490,[0.06838833 0.05568315 0.04798072 0.0536352  0.04363279 0.03437954],[0.03919468 0.03450684 0.02863777 0.02366734 0.02705753 0.02402878],[0.00344889 0.00380418 0.00438197 0.00388687 0.00341873 0.0029564 ],[0.02574476 0.01737213 0.01496098 0.02608099 0.01315652 0.00739437]
2491,[0.0808422  0.05290183 0.04748396 0.04131386 0.03777128 0.02623463],[0.03578747 0.03145351 0.02607641 0.02294082 0.01814639 0.01701896],[0.00426849 0.0050808  0.00466492 0.00451044 0.00425753 0.00402455],[0.04078624 0.01636752 0.01674263 0.01386259 0.01536736 0.00519112]
2492,[0.0811223  0.05585725 0.046921   0.03633744 0.03250417 0.03076466],[0.03676704 0.03621251 0.02962476 0.02525203 0.02127582 0.01767005],[0.00463633 0.00452681 0.0037833  0.00318673 0.00280084 0.00255671],[0.03971893 0.01511793 0.01351294 0.00789868 0.00842751 0.0105379 ]
2493,[0.07248578 0.05318767 0.04231231 0.03545041 0.03019381 0.0259919 ],[0.04360313 0.03520099 0.02928987 0.02446935 0.02063793 0.01752166],[0.00496147 0.00419443 0.00327658 0.00290954 0.00260254 0.00240886],[0.02392117 0.01379225 0.00974585 0.00807153 0.00695334 0.00606138]
2494,[0.07296514 0.06368207 0.04164639 0.03836051 0.02815053 0.02297822],[0.03648274 0.03168351 0.02530583 0.02015063 0.01724123 0.01459345],[0.0054928  0.00636827 0.00594796 0.00499805 0.00429807 0.00386723],[0.0309896  0.02563029 0.01039261 0.01321184 0.00661123 0.00451754]
2495,[0.07038941 0.0530788  0.05119971 0.03606678 0.0298835  0.02592027],[0.04108951 0.03387845 0.02747061 0.02425673 0.02014991 0.01646626],[0.00486973 0.00423735 0.00390151 0.00393697 0.00349211 0.00326504],[0.02443017 0.014963   0.01982759 0.00787308 0.00624148 0.00618896]
2496,[0.08257521 0.07807036 0.04253843 0.03408208 0.02801736 0.02344668],[0.04154218 0.03846507 0.03096806 0.02499379 0.02045279 0.01692077],[0.00478035 0.00430366 0.00382411 0.00326021 0.0028865  0.00262451],[0.03625269 0.03530164 0.00774627 0.00582809 0.00467806 0.0039014 ]
2497,[0.07444052 0.0484282  0.0380461  0.02925407 0.02429223 0.02053357],[0.03781067 0.03131992 0.02535279 0.0211315  0.01745523 0.01468423],[0.00410629 0.00447191 0.00338997 0.00295315 0.00266284 0.00247563],[0.03252357 0.01263638 0.00930334 0.00516942 0.00417417 0.00337371]
2498,[0.06383554 0.04553663 0.03683245 0.03072236 0.02610008 0.02245165],[0.03989326 0.03215943 0.02594868 0.02136937 0.0178608  0.01509387],[0.00393281 0.0042891  0.00361163 0.00319068 0.0029064  0.00269963],[0.02000947 0.0090881  0.00727215 0.0061623  0.00533289 0.00465815]
2499,[0.07160814 0.04484083 0.03588177 0.02978243 0.02527732 0.02178656],[0.04124185 0.03344727 0.02705003 0.02229359 0.01863212 0.01575154],[0.00378733 0.00356361 0.00312095 0.00285162 0.00265606 0.00250461],[0.02657896 0.00782996 0.00571079 0.00463723 0.00398913 0.00353041]
2500,[0.07835931 0.08291428 0.04931024 0.04835083 0.03419053 0.0291441 ],[0.0458306  0.04025277 0.03503384 0.02915885 0.02363936 0.01993535],[0.00333837 0.00310084 0.00352161 0.00329413 0.00430157 0.00382792],[0.02919033 0.03956067 0.01075478 0.01589786 0.00624961 0.00538083]
2501,[0.08009026 0.06574551 0.04659185 0.03514183 0.02895436 0.02448434],[0.04052415 0.03985827 0.03385598 0.02787552 0.02259468 0.01876176],[0.00371749 0.00393724 0.00302042 0.00267049 0.00236225 0.00224453],[0.03584861 0.02195    0.00971545 0.00459581 0.00399743 0.00347805]
2502,[0.07283957 0.06712932 0.05123184 0.03709361 0.03088663 0.02629203],[0.04406502 0.0355892  0.03206652 0.02566198 0.02098084 0.01747125],[0.00392228 0.00432722 0.00440213 0.00369521 0.00314178 0.00280525],[0.02485226 0.0272129  0.01476319 0.00773642 0.00676401 0.00601553]
2503,[0.08547237 0.06379332 0.05274695 0.04008713 0.03379385 0.02908893],[0.04161052 0.03766174 0.03270618 0.02771406 0.02291108 0.01935304],[0.00505991 0.00473962 0.00449258 0.00423522 0.00379642 0.00349485],[0.03880193 0.02139196 0.01554819 0.00813786 0.00708635 0.00624105]
2504,[0.06548462 0.04766938 0.04767788 0.03207966 0.0265731  0.02206077],[0.04059469 0.03117127 0.02616659 0.02126981 0.01781691 0.01481633],[0.00606498 0.00559829 0.00437395 0.00423385 0.00367215 0.00337103],[0.01882495 0.01089983 0.01713733 0.006576   0.00508405 0.00387341]
2505,[0.07601486 0.0738645  0.04284948 0.03269293 0.02729389 0.02315623],[0.03665308 0.03210145 0.02489737 0.021049   0.01794744 0.01527475],[0.00641021 0.00470211 0.00401658 0.00331565 0.00281857 0.00250136],[0.03295156 0.03706093 0.01393553 0.00832828 0.00652788 0.00538012]
2506,[0.07042196 0.05199734 0.04024807 0.03073582 0.02520584 0.02062562],[0.04010042 0.03146875 0.02570357 0.02044475 0.01716042 0.01390771],[0.00697529 0.00552893 0.00421681 0.00390597 0.00324879 0.00294456],[0.02334625 0.01499967 0.01032768 0.0063851  0.00479663 0.00377335]
2507,[0.08075608 0.07248049 0.06036907 0.04373991 0.03639571 0.03209153],[0.03600533 0.03170812 0.03051467 0.02934027 0.02362588 0.01991887],[0.0078059  0.00750319 0.00712618 0.00612017 0.00504579 0.00436583],[0.03694486 0.03326919 0.02272822 0.00827947 0.00772405 0.00780683]
2508,[0.06797257 0.05296926 0.04300912 0.03305245 0.02688113 0.02454179],[0.03333825 0.02755208 0.02111026 0.01940898 0.01571328 0.01332814],[0.00702682 0.00565538 0.00419142 0.00373183 0.00321247 0.00299248],[0.0276075  0.01976181 0.01770744 0.00991164 0.00795538 0.00822117]
2509,[0.08206257 0.03813999 0.0327157  0.03202647 0.02569888 0.01800725],[0.03085349 0.02443306 0.01985287 0.01618115 0.01416246 0.01146865],[0.00688813 0.00535442 0.00432922 0.00377552 0.00336639 0.00305457],[0.04432095 0.00835251 0.00853361 0.0120698  0.00817003 0.00348403]
2510,[0.08210593 0.0560279  0.06659939 0.03632205 0.03164354 0.02532211],[0.03546247 0.03111564 0.0273036  0.02160978 0.01859866 0.01598965],[0.00554447 0.00525067 0.0044949  0.00387202 0.00330875 0.00302396],[0.04109899 0.01966159 0.03480089 0.01084026 0.00973613 0.00630851]
2511,[0.06819686 0.04590626 0.02747861 0.02175972 0.01772405 0.01469229],[0.02986895 0.02385364 0.01834128 0.01459829 0.01181611 0.00965833],[0.00480976 0.0053832  0.00431475 0.00356979 0.00303029 0.00268642],[0.03351816 0.01666942 0.00482259 0.00359164 0.00287765 0.00234754]
2512,[0.08155626 0.0609171  0.03641514 0.02997073 0.02517602 0.02147064],[0.03513467 0.03390493 0.02633274 0.02184497 0.018134   0.01550591],[0.0032477  0.00419558 0.00348552 0.00294162 0.002523   0.00224399],[0.04317388 0.0228166  0.00659687 0.00518413 0.00451901 0.00372074]
2513,[0.08874464 0.05928735 0.04864633 0.03591429 0.02858115 0.0238995 ],[0.03288927 0.02915829 0.02557854 0.02133416 0.0175291  0.01494143],[0.00241431 0.0033983  0.00516604 0.00501641 0.0043523  0.00382513],[0.05344107 0.02673076 0.01790175 0.00956372 0.00669976 0.00513294]
2514,[0.07952039 0.05064292 0.04330602 0.04260621 0.03106588 0.02617371],[0.03799285 0.03361559 0.02737058 0.02265659 0.02035969 0.01726169],[0.00239627 0.00313558 0.00238386 0.00237974 0.00237677 0.00248211],[0.03913126 0.01389175 0.01355158 0.01756989 0.00832942 0.00642991]
2515,[0.08316533 0.0588512  0.04786173 0.03307584 0.02740671 0.02312687],[0.03969534 0.0355173  0.02759081 0.02324975 0.01899874 0.01602141],[0.00233812 0.00460438 0.0039144  0.00360388 0.00323562 0.00314314],[0.04113186 0.01872951 0.01635652 0.00622221 0.00517235 0.00396232]
2516,[0.06703565 0.05571523 0.04931397 0.03604933 0.02817536 0.02382168],[0.0402575  0.03230159 0.02841708 0.02632781 0.02121036 0.01780226],[0.00269781 0.00277409 0.0026939  0.00337879 0.00316385 0.00283497],[0.02408034 0.02063955 0.01820299 0.00634272 0.00380116 0.00318445]
2517,[0.08414912 0.05863502 0.04165205 0.0324029  0.02696945 0.0228823 ],[0.0466524  0.0372888  0.03220828 0.02596702 0.02138725 0.01795475],[0.00233614 0.00324343 0.00277295 0.00266053 0.00255825 0.00249045],[0.03516058 0.0181028  0.00667082 0.00377536 0.00302396 0.0024371 ]
2518,[0.06465204 0.05171178 0.0428657  0.04425319 0.02809821 0.02148656],[0.03769721 0.03196614 0.02693466 0.02058503 0.01722122 0.01411411],[0.00277898 0.00339552 0.00321933 0.00328595 0.00299802 0.00268608],[0.02417585 0.01635013 0.01271171 0.02038221 0.00787898 0.00468637]
2519,[0.07103452 0.04597378 0.03735113 0.03114571 0.02667904 0.02320507],[0.04586681 0.03620861 0.02942484 0.02391247 0.0202682  0.01673356],[0.00322039 0.00292891 0.00256135 0.00235941 0.00223138 0.00213112],[0.02194732 0.00683626 0.00536494 0.00487383 0.00417946 0.0043404 ]
2520,[0.0781576  0.05770176 0.04524129 0.03553847 0.02910619 0.02372904],[0.04603463 0.03855294 0.03206427 0.02543559 0.02103443 0.01739411],[0.00388377 0.00349735 0.00295657 0.00264619 0.0023487  0.00218667],[0.02823921 0.01565147 0.01022044 0.0074567  0.00572306 0.00414825]
2521,[0.09805541 0.09224154 0.04636671 0.03447824 0.0311838  0.02581535],[0.04049701 0.03401189 0.02880432 0.02336584 0.01918457 0.01662551],[0.00373623 0.00499521 0.00518648 0.00444894 0.00403359 0.00367933],[0.05382217 0.05323444 0.01237591 0.00666346 0.00796564 0.0055105 ]
2522,[0.09064107 0.07284243 0.04456595 0.03870632 0.03892872 0.02626381],[0.05183061 0.04176513 0.03387833 0.02733917 0.02454771 0.01984585],[0.00514514 0.00495065 0.00359603 0.0031825  0.00302712 0.00302738],[0.03366531 0.02612666 0.00709159 0.00818465 0.01135389 0.00339058]
2523,[0.07716762 0.05128129 0.04081391 0.03328296 0.02762501 0.0232459 ],[0.04944001 0.03783663 0.03023882 0.02447671 0.02010815 0.01663383],[0.0059465  0.00447784 0.00344055 0.00285269 0.00248927 0.00226599],[0.02178111 0.00896682 0.00713454 0.00595357 0.00502759 0.00434608]
2524,[0.09604386 0.06755938 0.04643848 0.03760696 0.03128971 0.02648966],[0.0496099  0.04215771 0.03269137 0.0264829  0.02177993 0.01811292],[0.00617184 0.0067986  0.00545936 0.00458021 0.0039618  0.00352355],[0.04026212 0.01860307 0.00828774 0.00654384 0.00554798 0.00485319]
2525,[0.08262717 0.05920304 0.0445187  0.03717267 0.03175582 0.02750043],[0.0483414  0.04107826 0.03281398 0.02765875 0.02350635 0.02009762],[0.00594013 0.00486513 0.00384113 0.00329291 0.0029183  0.00268262],[0.02834565 0.01325966 0.00786358 0.00622102 0.00533116 0.00472019]
2526,[0.06822409 0.06161415 0.04121511 0.03235427 0.02593028 0.02155236],[0.04000197 0.03108484 0.02845901 0.02211235 0.01801675 0.01489631],[0.00677183 0.00546277 0.00482727 0.00388096 0.00317448 0.00273655],[0.02145029 0.02506654 0.00792883 0.00636096 0.00473905 0.00391951]
2527,[0.06145297 0.04968215 0.04279521 0.03478081 0.02484884 0.02092526],[0.0437036  0.0334331  0.02735353 0.02166519 0.0184507  0.01537836],[0.00535951 0.00403737 0.00327993 0.00295917 0.00260632 0.00237927],[0.01238986 0.01221167 0.01216176 0.01015645 0.00379182 0.00316762]
2528,[0.06993311 0.05158701 0.0434801  0.04591148 0.0314465  0.0262054 ],[0.04203    0.03514921 0.02858424 0.02458897 0.02037324 0.01691218],[0.00616273 0.00517153 0.00398449 0.00360621 0.00353701 0.00347839],[0.02174038 0.01126627 0.01091137 0.01771631 0.00753625 0.00581483]
2529,[0.10411096 0.09947969 0.05575605 0.04650749 0.03742005 0.03040445],[0.04362049 0.0377788  0.03560994 0.03139605 0.02547481 0.02246331],[0.00642471 0.00566576 0.0048156  0.00389931 0.00354996 0.00325827],[0.05406576 0.05603513 0.01533052 0.01121214 0.00839528 0.00468287]
2530,[0.07586264 0.0567264  0.04248825 0.03011012 0.02465783 0.020852  ],[0.04395571 0.03656802 0.02735751 0.02231415 0.01831314 0.01528089],[0.00589566 0.00466067 0.00390942 0.00367271 0.00322149 0.00291825],[0.02601127 0.01549771 0.01122132 0.00412325 0.0031232  0.00265286]
2531,[0.07571795 0.06321715 0.05252794 0.0398438  0.03320121 0.02538353],[0.04710934 0.03815759 0.03438555 0.02679908 0.02224082 0.01740021],[0.00631767 0.00467392 0.00419996 0.0035327  0.00312085 0.00283193],[0.02229094 0.02038564 0.01394242 0.00951202 0.00783954 0.0051514 ]
2532,[0.08912078 0.06514556 0.04328179 0.0345994  0.02878454 0.02429399],[0.04058138 0.03583147 0.02856606 0.02353423 0.01936656 0.01615596],[0.00615138 0.00629529 0.00464972 0.00377915 0.00317853 0.00278156],[0.04238801 0.02301881 0.010066   0.00728601 0.00623945 0.00535646]
2533,[0.06549973 0.0525752  0.03591642 0.02848489 0.02322983 0.01936204],[0.04082409 0.03066216 0.02566636 0.02024645 0.01621216 0.01321978],[0.0060593  0.00580047 0.00483148 0.00404563 0.00355519 0.00313867],[0.01861634 0.01611257 0.00541858 0.00419281 0.00346247 0.00300359]
2534,[0.0720802  0.04707377 0.04111583 0.0477483  0.03253831 0.02618405],[0.04260373 0.03340918 0.02703308 0.02141825 0.02476252 0.0194252 ],[0.00546164 0.00470425 0.00367557 0.00352228 0.00364773 0.00331671],[0.02401483 0.00896034 0.01040718 0.02280778 0.00412806 0.00344213]
2535,[0.05991185 0.05819487 0.02870014 0.02273731 0.01856736 0.01548084],[0.03004745 0.02235551 0.01791311 0.0142043  0.0114959  0.00936774],[0.00439393 0.00455989 0.0053161  0.00432602 0.00363425 0.00315908],[0.02547048 0.03127947 0.00547093 0.00420699 0.00343721 0.00295401]
2536,[0.0789646  0.0681344  0.04145771 0.03259751 0.02750789 0.0261653 ],[0.04196328 0.0386106  0.02963134 0.02353876 0.01942041 0.01557627],[0.00402519 0.00364482 0.00332066 0.00304631 0.00284552 0.00272805],[0.03297614 0.02587898 0.00850571 0.00601245 0.00524196 0.00786097]
2537,[0.05571018 0.05276173 0.03466711 0.02739954 0.0226011  0.01947959],[0.03050113 0.0250929  0.02121951 0.01731856 0.01498165 0.01281655],[0.00362959 0.00341108 0.00311978 0.00334444 0.00302175 0.00280452],[0.02157946 0.02425775 0.01032781 0.00673654 0.00459771 0.00385853]
2538,[0.08856439 0.05734983 0.05998542 0.03897295 0.03110613 0.02677965],[0.04148239 0.03793444 0.03027378 0.02530142 0.02142627 0.01806559],[0.00352541 0.00313796 0.00254542 0.00258514 0.00236416 0.00227113],[0.04355659 0.01627743 0.02716621 0.01108639 0.0073157  0.00644293]
2539,[0.06130058 0.05869129 0.03963311 0.02837574 0.02361088 0.0198818 ],[0.03800688 0.03025926 0.02363426 0.01913905 0.01568467 0.01294246],[0.00218041 0.00254235 0.00273339 0.00263973 0.00234703 0.00221421],[0.0211133  0.02588968 0.01326546 0.00659695 0.00557918 0.00472513]
2540,[0.06733809 0.05997293 0.053076   0.04287778 0.02865608 0.02373268],[0.04017241 0.03218961 0.02667068 0.02608761 0.02112024 0.01727894],[0.00294818 0.00303338 0.00295341 0.00275153 0.00241082 0.00229497],[0.02421751 0.02474994 0.02345191 0.01403863 0.00512502 0.00415877]
2541,[0.0759155  0.0841443  0.05175637 0.03989681 0.04298266 0.02899218],[0.04457742 0.03562957 0.03474933 0.02873565 0.0255586  0.01964603],[0.00224384 0.0022551  0.00267052 0.00258141 0.00248066 0.00258774],[0.02909425 0.04625963 0.01433652 0.00857975 0.01494341 0.0067584 ]
2542,[0.06682354 0.05249105 0.04798659 0.0313624  0.02609496 0.02199285],[0.03961342 0.03130907 0.02943474 0.02357431 0.01931485 0.01593845],[0.00224149 0.00256072 0.00239978 0.0023915  0.00230813 0.00226251],[0.02496863 0.01862126 0.01615207 0.00539658 0.00447198 0.0037919 ]
2543,[0.09211177 0.06605469 0.05032847 0.0349244  0.02882929 0.02414997],[0.03875108 0.03192883 0.02919302 0.02463207 0.02011747 0.01668363],[0.00239551 0.00591832 0.00633662 0.00558555 0.00498999 0.00447958],[0.05096518 0.02820754 0.01479883 0.00470679 0.00372184 0.00298676]
2544,[0.06165875 0.05606452 0.03440001 0.02428612 0.02040939 0.01760528],[0.02702436 0.02438631 0.01866195 0.01535637 0.01273946 0.01084344],[0.00246832 0.0027841  0.00252215 0.00236864 0.00222861 0.00212966],[0.03216607 0.0288941  0.0132159  0.00656111 0.00544132 0.00463218]
2545,[0.0631432  0.04666023 0.03856894 0.03358018 0.02980946 0.02364638],[0.04350321 0.03465097 0.02843963 0.02354205 0.01978266 0.01667227],[0.00265639 0.00252205 0.0022199  0.0021583  0.00206827 0.00210265],[0.0169836  0.00948721 0.00790941 0.00787983 0.00795854 0.00487146]
2546,[0.09494727 0.04866403 0.03746269 0.0311528  0.02655453 0.02294687],[0.03668676 0.03453115 0.02744458 0.02249246 0.01902119 0.0159557 ],[0.00327648 0.00468735 0.0041917  0.00354302 0.00306432 0.00270169],[0.05498403 0.00944553 0.00582641 0.00511732 0.00446902 0.00428948]
