,inner_loss,inner_loss_b,inner_loss_f
38,[7.94773236 4.16977665 2.94340945 2.49696402 2.15915353 1.80059424],[0.77294579 0.39574255 0.27358442 0.22937886 0.1960986  0.16085216],[0.21827441 0.21235115 0.20756527 0.20317538 0.19816756 0.19207263]
39,[7.7780232  3.93983068 2.70836316 2.27371006 1.94993374 1.60627732],[0.75744549 0.3742132  0.25154814 0.20852181 0.1766389  0.14288833],[0.20356837 0.19769868 0.19288179 0.18849199 0.18354477 0.177394  ]
40,[7.62932909 3.79686239 2.57400509 2.15711844 1.85751261 1.5432213 ],[0.7448128  0.36208024 0.24017955 0.19880065 0.16915277 0.13807845],[0.18120104 0.17605999 0.1722096  0.16911194 0.16598486 0.16243682]
41,[8.07497387 4.2606304  3.02328056 2.55585673 2.18088092 1.77357413],[0.78554139 0.40474534 0.28159045 0.23547469 0.19879576 0.15916918],[0.21956    0.21317698 0.20737605 0.20110979 0.19292326 0.18188233]
42,[7.656998   3.94835832 2.75740765 2.3342121  2.02024065 1.68948062],[0.74705832 0.37679945 0.25818845 0.21630191 0.18538764 0.15290294],[0.18641478 0.18036382 0.17552316 0.17119303 0.1663643  0.16045124]
43,[7.5221509  3.81964558 2.65450791 2.24005343 1.91537703 1.56429911],[0.73217631 0.36249782 0.24643997 0.20541126 0.17342497 0.13890691],[0.20038781 0.19466742 0.19010825 0.18594082 0.18112732 0.17522999]
44,[7.38014848 3.82136107 2.69424095 2.29768765 1.99991651 1.68455542],[0.71801325 0.36264536 0.25030751 0.21095133 0.18147733 0.15029444],[0.20001598 0.19490747 0.1911659  0.18817436 0.1851432  0.18161105]
45,[7.62990012 4.00614305 2.8438428  2.41636674 2.07857241 1.71441032],[0.73720552 0.37553025 0.25993073 0.21786307 0.18496198 0.14971414],[0.25784488 0.25084062 0.24453554 0.23773601 0.22895257 0.21726894]
46,[7.42218376 3.72042515 2.56329157 2.15498091 1.83446756 1.490552  ],[0.72805109 0.35834435 0.24299142 0.20246305 0.17071609 0.13662639],[0.14167289 0.13698163 0.1333774  0.13035046 0.12730666 0.12428808]
47,[7.44265015 3.74284349 2.58325709 2.17412995 1.85491351 1.51256677],[0.72677997 0.35729801 0.24174141 0.20118952 0.16966833 0.13590737],[0.17485037 0.16986343 0.16584298 0.16223472 0.15823019 0.15349304]
48,[7.62259283 3.91401668 2.74476649 2.32371267 1.988398   1.62735014],[0.7447861  0.37440171 0.25784775 0.21608115 0.18293742 0.14728692],[0.17473183 0.16999955 0.16628896 0.16290117 0.15902375 0.15448093]
49,[7.4308092  3.98001576 2.87712598 2.44965851 2.08821164 1.68907999],[0.71823564 0.37387183 0.2642056  0.22210469 0.18678448 0.14797469],[0.24845282 0.24129744 0.23506996 0.22861156 0.22036684 0.2093331 ]
50,[7.70589398 4.16119229 3.02529451 2.57890282 2.19544449 1.77251534],[0.74965261 0.3958232  0.28281123 0.23881212 0.20133185 0.16021213],[0.20936787 0.20296032 0.19718221 0.19078163 0.18212602 0.17039401]
51,[7.08085043 3.59239106 2.5057115  2.12947757 1.84066928 1.53294363],[0.68565466 0.337378   0.2291461  0.19190044 0.16342497 0.13311635],[0.22430389 0.21861115 0.21425053 0.21047312 0.20641959 0.20178014]
52,[7.30915584 4.02837583 2.98352188 2.55745147 2.17859892 1.760547  ],[0.70473864 0.37736539 0.27343308 0.2313428  0.19407291 0.15302799],[0.26176946 0.25472197 0.24919108 0.24402343 0.23786981 0.23026714]
53,[6.94343061 3.63541385 2.60630878 2.22775399 1.92072794 1.59019937],[0.67585376 0.34555544 0.2430179  0.20547523 0.17511232 0.1424639 ],[0.18489296 0.17985943 0.17612981 0.17300172 0.16960481 0.16556038]
54,[7.29780398 3.82564785 2.74047527 2.33503837 1.99878217 1.63529062],[0.70785756 0.36122272 0.2531921  0.21313619 0.18011275 0.14453529],[0.21922837 0.21342065 0.20855432 0.20367643 0.19765469 0.18993773]
55,[6.92244695 3.96281756 3.01549945 2.60616798 2.23343447 1.8218275 ],[0.66476619 0.36956824 0.27546473 0.23515602 0.19867254 0.15857914],[0.27478502 0.26713519 0.26085209 0.25460773 0.24670904 0.23603607]
