,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
2065,[0.15488424 0.12553663 0.08705517 0.07034736 0.05685306 0.04731961],[0.07767481 0.06243257 0.05265816 0.04447123 0.03500823 0.02806126],[0.00637626 0.00840095 0.00904107 0.00866144 0.0083758  0.00809598],[0.07083317 0.0547031  0.02535594 0.0172147  0.01346903 0.01116238],[0.15488424 0.12553663 0.08705517 0.07034736 0.05685306 0.04731961],[0.07767481 0.06243257 0.05265816 0.04447123 0.03500823 0.02806126],[0.00637626 0.00840095 0.00904107 0.00866144 0.0083758  0.00809598],[0.07083317 0.0547031  0.02535594 0.0172147  0.01346903 0.01116238]
2066,[0.17626087 0.11191985 0.08527035 0.07051836 0.05408055 0.04382836],[0.08943432 0.07212086 0.05400414 0.04146201 0.03288627 0.02569415],[0.00608999 0.00891791 0.00981433 0.00939751 0.00907789 0.00845973],[0.08073655 0.03088107 0.02145188 0.01965884 0.01211639 0.00967448],[0.17626087 0.11191985 0.08527035 0.07051836 0.05408055 0.04382836],[0.08943432 0.07212086 0.05400414 0.04146201 0.03288627 0.02569415],[0.00608999 0.00891791 0.00981433 0.00939751 0.00907789 0.00845973],[0.08073655 0.03088107 0.02145188 0.01965884 0.01211639 0.00967448]
2067,[0.14856241 0.26876164 0.1362384  0.4256677  0.16405659 0.06355264],[0.09280222 0.07139679 0.08865941 0.19390068 0.10443521 0.02916665],[0.0062509  0.00646318 0.02834186 0.21641915 0.04628461 0.02103991],[0.04950929 0.19090168 0.01923714 0.01534788 0.01333677 0.01334608],[0.14856241 0.26876164 0.1362384  0.4256677  0.16405659 0.06355264],[0.09280222 0.07139679 0.08865941 0.19390068 0.10443521 0.02916665],[0.0062509  0.00646318 0.02834186 0.21641915 0.04628461 0.02103991],[0.04950929 0.19090168 0.01923714 0.01534788 0.01333677 0.01334608]
2068,[0.17796398 0.17378345 0.13391457 0.09043685 0.06218683 0.05066325],[0.08270312 0.06843981 0.0779852  0.06414036 0.04166113 0.03170068],[0.00638469 0.00920443 0.01297836 0.0086184  0.00750997 0.00747557],[0.08887617 0.09613921 0.04295101 0.0176781  0.01301573 0.01148699],[0.17796398 0.17378345 0.13391457 0.09043685 0.06218683 0.05066325],[0.08270312 0.06843981 0.0779852  0.06414036 0.04166113 0.03170068],[0.00638469 0.00920443 0.01297836 0.0086184  0.00750997 0.00747557],[0.08887617 0.09613921 0.04295101 0.0176781  0.01301573 0.01148699]
2069,[0.14917561 0.12802427 0.09872507 0.08478334 0.0674543  0.05343957],[0.08360252 0.06559738 0.05675477 0.05949581 0.04673551 0.03639841],[0.00610105 0.00601005 0.00776924 0.00780986 0.00775071 0.00753778],[0.05947204 0.05641684 0.03420106 0.01747767 0.01296808 0.00950339],[0.14917561 0.12802427 0.09872507 0.08478334 0.0674543  0.05343957],[0.08360252 0.06559738 0.05675477 0.05949581 0.04673551 0.03639841],[0.00610105 0.00601005 0.00776924 0.00780986 0.00775071 0.00753778],[0.05947204 0.05641684 0.03420106 0.01747767 0.01296808 0.00950339]
2070,[0.17586723 0.11500163 0.09546236 0.0767949  0.05153247 0.04186148],[0.08162732 0.07197821 0.0554495  0.04365936 0.03232098 0.02516919],[0.00647662 0.01145516 0.00959941 0.00924837 0.00759963 0.0070028 ],[0.0877633  0.03156826 0.03041345 0.02388716 0.01161187 0.00968949],[0.17586723 0.11500163 0.09546236 0.0767949  0.05153247 0.04186148],[0.08162732 0.07197821 0.0554495  0.04365936 0.03232098 0.02516919],[0.00647662 0.01145516 0.00959941 0.00924837 0.00759963 0.0070028 ],[0.0877633  0.03156826 0.03041345 0.02388716 0.01161187 0.00968949]
2071,[0.18187223 0.20774715 0.12615756 0.10128479 0.11645939 0.07017161],[0.0981282  0.09097956 0.07527247 0.05838279 0.05333229 0.04196454],[0.00642659 0.00964028 0.00970461 0.01130828 0.01011669 0.01439681],[0.07731745 0.10712732 0.04118048 0.03159373 0.05301041 0.01381027],[0.18187223 0.20774715 0.12615756 0.10128479 0.11645939 0.07017161],[0.0981282  0.09097956 0.07527247 0.05838279 0.05333229 0.04196454],[0.00642659 0.00964028 0.00970461 0.01130828 0.01011669 0.01439681],[0.07731745 0.10712732 0.04118048 0.03159373 0.05301041 0.01381027]
2072,[0.18850009 0.10859059 0.08330259 0.06862973 0.07436315 0.05786519],[0.08857846 0.07111422 0.0551689  0.04181544 0.03211437 0.02578164],[0.00624142 0.01121526 0.01090088 0.00968027 0.00918593 0.00909216],[0.09368021 0.0262611  0.01723281 0.01713401 0.03306284 0.02299139],[0.18850009 0.10859059 0.08330259 0.06862973 0.07436315 0.05786519],[0.08857846 0.07111422 0.0551689  0.04181544 0.03211437 0.02578164],[0.00624142 0.01121526 0.01090088 0.00968027 0.00918593 0.00909216],[0.09368021 0.0262611  0.01723281 0.01713401 0.03306284 0.02299139]
2073,[0.21482837 0.27641273 0.15654386 0.103167   0.07242088 0.05925846],[0.09960585 0.09814968 0.08940987 0.06831712 0.05208946 0.04010141],[0.00596266 0.01120357 0.01175163 0.00963159 0.00913045 0.00908331],[0.10925986 0.16705947 0.05538236 0.02521829 0.01120098 0.01007374],[0.21482837 0.27641273 0.15654386 0.103167   0.07242088 0.05925846],[0.09960585 0.09814968 0.08940987 0.06831712 0.05208946 0.04010141],[0.00596266 0.01120357 0.01175163 0.00963159 0.00913045 0.00908331],[0.10925986 0.16705947 0.05538236 0.02521829 0.01120098 0.01007374]
2074,[0.18467582 0.1740773  0.12866636 0.08942408 0.0606058  0.04900186],[0.10315668 0.08013329 0.06232594 0.0503965  0.03865276 0.03006534],[0.00602639 0.01122539 0.01601272 0.01278928 0.01075858 0.00996383],[0.07549275 0.08271862 0.0503277  0.0262383  0.01119445 0.00897269],[0.18467582 0.1740773  0.12866636 0.08942408 0.0606058  0.04900186],[0.10315668 0.08013329 0.06232594 0.0503965  0.03865276 0.03006534],[0.00602639 0.01122539 0.01601272 0.01278928 0.01075858 0.00996383],[0.07549275 0.08271862 0.0503277  0.0262383  0.01119445 0.00897269]
