,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
951,[0.2582464  0.29429961 0.16129441 0.12337993 0.09396624 0.07583672],[0.1667558  0.12401604 0.11141029 0.08485979 0.06305099 0.0483727 ],[0.00190143 0.00666536 0.02011012 0.01532641 0.01341576 0.01281075],[0.08958916 0.16361821 0.029774   0.02319373 0.01749949 0.01465327],[0.2582464  0.29429961 0.16129441 0.12337993 0.09396624 0.07583672],[0.1667558  0.12401604 0.11141029 0.08485979 0.06305099 0.0483727 ],[0.00190143 0.00666536 0.02011012 0.01532641 0.01341576 0.01281075],[0.08958916 0.16361821 0.029774   0.02319373 0.01749949 0.01465327]
952,[0.31950228 0.19415714 0.13928851 0.10162775 0.08175379 0.06761442],[0.14727886 0.13686203 0.09978434 0.07376703 0.05665579 0.04393519],[0.00175164 0.00874222 0.00706761 0.0079241  0.00895437 0.00978378],[0.17047178 0.0485529  0.03243656 0.01993662 0.01614363 0.01389545],[0.31950228 0.19415714 0.13928851 0.10162775 0.08175379 0.06761442],[0.14727886 0.13686203 0.09978434 0.07376703 0.05665579 0.04393519],[0.00175164 0.00874222 0.00706761 0.0079241  0.00895437 0.00978378],[0.17047178 0.0485529  0.03243656 0.01993662 0.01614363 0.01389545]
953,[0.46008034 0.25706743 0.19959108 0.12108388 0.09628836 0.07880883],[0.160523   0.13257685 0.11147234 0.0880864  0.06680164 0.05182138],[0.0017557  0.01761913 0.01305543 0.01300417 0.01270604 0.01254924],[0.29780164 0.10687145 0.07506331 0.01999331 0.01678068 0.0144382 ],[0.46008034 0.25706743 0.19959108 0.12108388 0.09628836 0.07880883],[0.160523   0.13257685 0.11147234 0.0880864  0.06680164 0.05182138],[0.0017557  0.01761913 0.01305543 0.01300417 0.01270604 0.01254924],[0.29780164 0.10687145 0.07506331 0.01999331 0.01678068 0.0144382 ]
954,[0.48644169 0.32124082 0.17957466 0.12806208 0.09700651 0.07791483],[0.16286785 0.1534382  0.1339657  0.09527122 0.0703633  0.0535086 ],[0.00190083 0.02343607 0.01509903 0.01091069 0.01056025 0.01110242],[0.32167301 0.14436655 0.03050993 0.02188017 0.01608295 0.01330382],[0.48644169 0.32124082 0.17957466 0.12806208 0.09700651 0.07791483],[0.16286785 0.1534382  0.1339657  0.09527122 0.0703633  0.0535086 ],[0.00190083 0.02343607 0.01509903 0.01091069 0.01056025 0.01110242],[0.32167301 0.14436655 0.03050993 0.02188017 0.01608295 0.01330382]
955,[0.3860679  0.27758265 0.17495875 0.11471932 0.08998377 0.07306392],[0.14660652 0.12131433 0.10224025 0.06920384 0.05383017 0.04249525],[0.00206112 0.01854782 0.01890253 0.01638925 0.01540481 0.01457354],[0.23740026 0.13772049 0.05381597 0.02912622 0.02074878 0.01599513],[0.3860679  0.27758265 0.17495875 0.11471932 0.08998377 0.07306392],[0.14660652 0.12131433 0.10224025 0.06920384 0.05383017 0.04249525],[0.00206112 0.01854782 0.01890253 0.01638925 0.01540481 0.01457354],[0.23740026 0.13772049 0.05381597 0.02912622 0.02074878 0.01599513]
956,[0.35677644 0.22177625 0.13751821 0.09778955 0.08040948 0.06708584],[0.14699973 0.12818637 0.08936235 0.06681626 0.0515395  0.04028906],[0.00196066 0.01205291 0.0093645  0.01033137 0.01047587 0.01064563],[0.20781604 0.08153697 0.03879135 0.02064193 0.01839411 0.01615115],[0.35677644 0.22177625 0.13751821 0.09778955 0.08040948 0.06708584],[0.14699973 0.12818637 0.08936235 0.06681626 0.0515395  0.04028906],[0.00196066 0.01205291 0.0093645  0.01033137 0.01047587 0.01064563],[0.20781604 0.08153697 0.03879135 0.02064193 0.01839411 0.01615115]
957,[0.30525291 0.19958019 0.14512857 0.10518221 0.08388569 0.06926866],[0.15579442 0.13083085 0.09274477 0.07314926 0.05572041 0.04328844],[0.0019427  0.01453254 0.00803686 0.0093879  0.0101797  0.01073109],[0.14751579 0.0542168  0.04434695 0.02264506 0.01798558 0.01524913],[0.30525291 0.19958019 0.14512857 0.10518221 0.08388569 0.06926866],[0.15579442 0.13083085 0.09274477 0.07314926 0.05572041 0.04328844],[0.0019427  0.01453254 0.00803686 0.0093879  0.0101797  0.01073109],[0.14751579 0.0542168  0.04434695 0.02264506 0.01798558 0.01524913]
958,[0.41744965 0.2432592  0.16563994 0.26688527 0.08560813 0.06853084],[0.13997464 0.12082079 0.09643826 0.1790012  0.0582703  0.04248858],[0.00182443 0.01633011 0.04363474 0.07018183 0.0115125  0.01138051],[0.2756506  0.1061083  0.02556694 0.01770223 0.01582533 0.01466176],[0.41744965 0.2432592  0.16563994 0.26688527 0.08560813 0.06853084],[0.13997464 0.12082079 0.09643826 0.1790012  0.0582703  0.04248858],[0.00182443 0.01633011 0.04363474 0.07018183 0.0115125  0.01138051],[0.2756506  0.1061083  0.02556694 0.01770223 0.01582533 0.01466176]
959,[0.36734253 0.21459494 0.13771642 0.10922283 0.08931727 0.07503943],[0.18376291 0.15640793 0.10816099 0.08268917 0.06404109 0.05011742],[0.00197484 0.01033276 0.00793348 0.00911004 0.01016003 0.01095002],[0.18160479 0.04785425 0.02162196 0.01742362 0.01511615 0.01397199],[0.36734253 0.21459494 0.13771642 0.10922283 0.08931727 0.07503943],[0.18376291 0.15640793 0.10816099 0.08268917 0.06404109 0.05011742],[0.00197484 0.01033276 0.00793348 0.00911004 0.01016003 0.01095002],[0.18160479 0.04785425 0.02162196 0.01742362 0.01511615 0.01397199]
960,[0.3821152  0.26935232 0.1629853  0.12454874 0.10142705 0.08467296],[0.16735096 0.15222738 0.10415025 0.08367044 0.06663764 0.05304168],[0.00193878 0.01383536 0.02641294 0.01639777 0.01516334 0.01518526],[0.21282546 0.10328958 0.03242211 0.02448053 0.01962608 0.01644602],[0.3821152  0.26935232 0.1629853  0.12454874 0.10142705 0.08467296],[0.16735096 0.15222738 0.10415025 0.08367044 0.06663764 0.05304168],[0.00193878 0.01383536 0.02641294 0.01639777 0.01516334 0.01518526],[0.21282546 0.10328958 0.03242211 0.02448053 0.01962608 0.01644602]
961,[0.31970007 0.20515728 0.13830948 0.11156428 0.08702728 0.07183074],[0.14943631 0.13618368 0.10316483 0.07824243 0.06067166 0.04757577],[0.00200829 0.00915273 0.00735525 0.00849638 0.00947896 0.01012989],[0.16825546 0.05982087 0.0277894  0.02482547 0.01687666 0.01412508],[0.31970007 0.20515728 0.13830948 0.11156428 0.08702728 0.07183074],[0.14943631 0.13618368 0.10316483 0.07824243 0.06067166 0.04757577],[0.00200829 0.00915273 0.00735525 0.00849638 0.00947896 0.01012989],[0.16825546 0.05982087 0.0277894  0.02482547 0.01687666 0.01412508]
962,[0.28253529 0.23765498 0.13800944 0.10130027 0.08355776 0.06436169],[0.14878277 0.17789788 0.10776958 0.06930379 0.05847388 0.0418621 ],[0.00186002 0.01868208 0.00938505 0.00939687 0.00841189 0.00956295],[0.1318925  0.04107501 0.02085481 0.02259961 0.01667198 0.01293664],[0.28253529 0.23765498 0.13800944 0.10130027 0.08355776 0.06436169],[0.14878277 0.17789788 0.10776958 0.06930379 0.05847388 0.0418621 ],[0.00186002 0.01868208 0.00938505 0.00939687 0.00841189 0.00956295],[0.1318925  0.04107501 0.02085481 0.02259961 0.01667198 0.01293664]
963,[0.2867645  0.18546726 0.12621217 0.10301658 0.08080777 0.06579326],[0.15560356 0.12423233 0.09171188 0.06977762 0.05416442 0.04229354],[0.00195346 0.00856438 0.00714139 0.00808019 0.00884668 0.00930299],[0.12920748 0.05267056 0.02735889 0.02515877 0.01779667 0.01419673],[0.2867645  0.18546726 0.12621217 0.10301658 0.08080777 0.06579326],[0.15560356 0.12423233 0.09171188 0.06977762 0.05416442 0.04229354],[0.00195346 0.00856438 0.00714139 0.00808019 0.00884668 0.00930299],[0.12920748 0.05267056 0.02735889 0.02515877 0.01779667 0.01419673]
964,[0.29631295 0.32748509 0.15071595 0.09711774 0.07488755 0.06089639],[0.11441343 0.10354629 0.10002974 0.06871226 0.04991534 0.03754872],[0.00184422 0.01435393 0.00898342 0.00818654 0.00840773 0.00871308],[0.1800553  0.20958487 0.04170278 0.02021894 0.01656448 0.01463458],[0.29631295 0.32748509 0.15071595 0.09711774 0.07488755 0.06089639],[0.11441343 0.10354629 0.10002974 0.06871226 0.04991534 0.03754872],[0.00184422 0.01435393 0.00898342 0.00818654 0.00840773 0.00871308],[0.1800553  0.20958487 0.04170278 0.02021894 0.01656448 0.01463458]
965,[0.3338746  0.200947   0.14327988 0.11679379 0.09124697 0.07573686],[0.16331618 0.1341126  0.10468089 0.082437   0.06300907 0.04933883],[0.00185033 0.00847854 0.00819274 0.00886019 0.00982656 0.01050315],[0.16870809 0.05835587 0.03040625 0.0254966  0.01841134 0.01589488],[0.3338746  0.200947   0.14327988 0.11679379 0.09124697 0.07573686],[0.16331618 0.1341126  0.10468089 0.082437   0.06300907 0.04933883],[0.00185033 0.00847854 0.00819274 0.00886019 0.00982656 0.01050315],[0.16870809 0.05835587 0.03040625 0.0254966  0.01841134 0.01589488]
966,[0.29672012 0.74546483 0.68902995 0.11621238 0.08288641 0.0674042 ],[0.14608093 0.12949481 0.397163   0.08046728 0.05879011 0.04407728],[0.00189378 0.01388491 0.26655388 0.01790384 0.00993468 0.01100903],[0.14874541 0.60208512 0.02531311 0.01784126 0.01416163 0.01231789],[0.29672012 0.74546483 0.68902995 0.11621238 0.08288641 0.0674042 ],[0.14608093 0.12949481 0.397163   0.08046728 0.05879011 0.04407728],[0.00189378 0.01388491 0.26655388 0.01790384 0.00993468 0.01100903],[0.14874541 0.60208512 0.02531311 0.01784126 0.01416163 0.01231789]
967,[0.37692781 0.26813076 0.16974802 0.12639728 0.09921444 0.08101256],[0.15719766 0.14647662 0.11942881 0.09110067 0.06698219 0.05372366],[0.00203189 0.01005967 0.01144466 0.01072896 0.0106904  0.01089812],[0.21769827 0.11159447 0.03887454 0.02456765 0.02154185 0.01639078],[0.37692781 0.26813076 0.16974802 0.12639728 0.09921444 0.08101256],[0.15719766 0.14647662 0.11942881 0.09110067 0.06698219 0.05372366],[0.00203189 0.01005967 0.01144466 0.01072896 0.0106904  0.01089812],[0.21769827 0.11159447 0.03887454 0.02456765 0.02154185 0.01639078]
968,[0.33269279 0.18789995 0.1359538  0.0997541  0.08305234 0.06553014],[0.14423231 0.11941632 0.09019121 0.06736967 0.05233577 0.04079906],[0.00177785 0.01537686 0.01119447 0.01069669 0.01034533 0.01059095],[0.18668263 0.05310677 0.03456812 0.02168775 0.02037124 0.01414013],[0.33269279 0.18789995 0.1359538  0.0997541  0.08305234 0.06553014],[0.14423231 0.11941632 0.09019121 0.06736967 0.05233577 0.04079906],[0.00177785 0.01537686 0.01119447 0.01069669 0.01034533 0.01059095],[0.18668263 0.05310677 0.03456812 0.02168775 0.02037124 0.01414013]
969,[0.33586173 0.27557216 0.16144581 0.1183842  0.09463881 0.07899126],[0.1615181  0.13008952 0.12348195 0.09136222 0.06763622 0.05188375],[0.00184924 0.02004271 0.00920076 0.00865903 0.01071935 0.01095369],[0.17249439 0.12543992 0.0287631  0.01836295 0.01628324 0.01615382],[0.33586173 0.27557216 0.16144581 0.1183842  0.09463881 0.07899126],[0.1615181  0.13008952 0.12348195 0.09136222 0.06763622 0.05188375],[0.00184924 0.02004271 0.00920076 0.00865903 0.01071935 0.01095369],[0.17249439 0.12543992 0.0287631  0.01836295 0.01628324 0.01615382]
970,[0.28920423 0.18943858 0.12176121 0.09474462 0.07625125 0.06295654],[0.15416499 0.1171431  0.08693272 0.06639967 0.05099209 0.03963739],[0.00191661 0.00835656 0.00698256 0.0078124  0.00841329 0.00875796],[0.13312263 0.06393892 0.02784593 0.02053255 0.01684587 0.01456119],[0.28920423 0.18943858 0.12176121 0.09474462 0.07625125 0.06295654],[0.15416499 0.1171431  0.08693272 0.06639967 0.05099209 0.03963739],[0.00191661 0.00835656 0.00698256 0.0078124  0.00841329 0.00875796],[0.13312263 0.06393892 0.02784593 0.02053255 0.01684587 0.01456119]
971,[0.26719889 0.36175549 0.20724702 0.30343823 0.11453856 0.07027063],[0.14060053 0.10663132 0.10495302 0.1520486  0.061589   0.03899691],[0.00192476 0.00984141 0.03204951 0.13495399 0.04008167 0.02009914],[0.1246736  0.24528275 0.07024449 0.01643563 0.0128679  0.01117459],[0.26719889 0.36175549 0.20724702 0.30343823 0.11453856 0.07027063],[0.14060053 0.10663132 0.10495302 0.1520486  0.061589   0.03899691],[0.00192476 0.00984141 0.03204951 0.13495399 0.04008167 0.02009914],[0.1246736  0.24528275 0.07024449 0.01643563 0.0128679  0.01117459]
972,[0.3271792  0.22241703 0.14086603 0.10949031 0.09732983 0.08394523],[0.1528226  0.13083234 0.10038671 0.0759893  0.05916905 0.04895332],[0.00197152 0.00876491 0.01007663 0.01030538 0.01065027 0.01111639],[0.17238508 0.08281978 0.03040268 0.02319563 0.0275105  0.02387552],[0.3271792  0.22241703 0.14086603 0.10949031 0.09732983 0.08394523],[0.1528226  0.13083234 0.10038671 0.0759893  0.05916905 0.04895332],[0.00197152 0.00876491 0.01007663 0.01030538 0.01065027 0.01111639],[0.17238508 0.08281978 0.03040268 0.02319563 0.0275105  0.02387552]
973,[0.30873165 0.23381566 0.16319671 0.1184927  0.09633081 0.07772636],[0.16093815 0.14050132 0.1149431  0.08916569 0.0674965  0.05302543],[0.00203375 0.00986115 0.00784679 0.00907384 0.00952157 0.00983551],[0.14575975 0.08345319 0.04040682 0.02025317 0.01931274 0.01486542],[0.30873165 0.23381566 0.16319671 0.1184927  0.09633081 0.07772636],[0.16093815 0.14050132 0.1149431  0.08916569 0.0674965  0.05302543],[0.00203375 0.00986115 0.00784679 0.00907384 0.00952157 0.00983551],[0.14575975 0.08345319 0.04040682 0.02025317 0.01931274 0.01486542]
974,[0.25039791 0.20155472 0.12168273 0.09571646 0.07629172 0.06429371],[0.15906353 0.11902833 0.09102049 0.069539   0.05370397 0.04166956],[0.00192877 0.00764337 0.00742271 0.00780304 0.00828386 0.00870579],[0.08940561 0.07488302 0.02323954 0.01837442 0.01430389 0.01391836],[0.25039791 0.20155472 0.12168273 0.09571646 0.07629172 0.06429371],[0.15906353 0.11902833 0.09102049 0.069539   0.05370397 0.04166956],[0.00192877 0.00764337 0.00742271 0.00780304 0.00828386 0.00870579],[0.08940561 0.07488302 0.02323954 0.01837442 0.01430389 0.01391836]
975,[0.26004309 0.27471925 0.18384861 0.13572347 0.10209462 0.08309424],[0.1623351  0.12739985 0.12772428 0.09249407 0.07143472 0.05590795],[0.00215155 0.00511744 0.01228151 0.00951398 0.00913987 0.00910177],[0.09555644 0.14220196 0.04384283 0.03371542 0.02152002 0.01808452],[0.26004309 0.27471925 0.18384861 0.13572347 0.10209462 0.08309424],[0.1623351  0.12739985 0.12772428 0.09249407 0.07143472 0.05590795],[0.00215155 0.00511744 0.01228151 0.00951398 0.00913987 0.00910177],[0.09555644 0.14220196 0.04384283 0.03371542 0.02152002 0.01808452]
976,[0.32032451 0.29640763 0.18043304 0.12285725 0.09654535 0.07643383],[0.13201548 0.11119316 0.10868995 0.0899776  0.06721745 0.05128332],[0.00191613 0.0169197  0.01956188 0.0161877  0.0140413  0.0129811 ],[0.1863929  0.16829476 0.05218122 0.01669195 0.01528659 0.01216942],[0.32032451 0.29640763 0.18043304 0.12285725 0.09654535 0.07643383],[0.13201548 0.11119316 0.10868995 0.0899776  0.06721745 0.05128332],[0.00191613 0.0169197  0.01956188 0.0161877  0.0140413  0.0129811 ],[0.1863929  0.16829476 0.05218122 0.01669195 0.01528659 0.01216942]
977,[0.27243776 0.21134275 0.19890245 0.1103534  0.08989203 0.0746321 ],[0.15892706 0.13631229 0.11377103 0.07921922 0.0613578  0.04802433],[0.00212955 0.00566425 0.00772298 0.00598171 0.0068785  0.00753576],[0.11138115 0.06936621 0.07740845 0.02515247 0.02165573 0.01907202],[0.27243776 0.21134275 0.19890245 0.1103534  0.08989203 0.0746321 ],[0.15892706 0.13631229 0.11377103 0.07921922 0.0613578  0.04802433],[0.00212955 0.00566425 0.00772298 0.00598171 0.0068785  0.00753576],[0.11138115 0.06936621 0.07740845 0.02515247 0.02165573 0.01907202]
978,[0.27252997 0.17979121 0.12082155 0.11653989 0.11470033 0.07946405],[0.14350032 0.12433853 0.0916227  0.07115424 0.08438775 0.05830319],[0.00203761 0.00840087 0.00691582 0.00701405 0.01448271 0.00949597],[0.12699205 0.04705181 0.02228303 0.0383716  0.01582987 0.0116649 ],[0.27252997 0.17979121 0.12082155 0.11653989 0.11470033 0.07946405],[0.14350032 0.12433853 0.0916227  0.07115424 0.08438775 0.05830319],[0.00203761 0.00840087 0.00691582 0.00701405 0.01448271 0.00949597],[0.12699205 0.04705181 0.02228303 0.0383716  0.01582987 0.0116649 ]
979,[0.34836628 0.27847191 0.15820482 0.11376174 0.0835344  0.06898775],[0.14299057 0.12251045 0.10770448 0.07468019 0.05412652 0.04282219],[0.00192179 0.01149877 0.01244955 0.01306454 0.01426386 0.01362566],[0.20345392 0.14446268 0.03805079 0.02601701 0.01514402 0.01253991],[0.34836628 0.27847191 0.15820482 0.11376174 0.0835344  0.06898775],[0.14299057 0.12251045 0.10770448 0.07468019 0.05412652 0.04282219],[0.00192179 0.01149877 0.01244955 0.01306454 0.01426386 0.01362566],[0.20345392 0.14446268 0.03805079 0.02601701 0.01514402 0.01253991]
980,[0.34855621 0.22812455 0.15519032 0.11626537 0.09348372 0.07828229],[0.16038769 0.16404892 0.11806732 0.08439165 0.06493583 0.05096357],[0.00208443 0.00893484 0.00909437 0.0101094  0.01072476 0.01112107],[0.1860841  0.05514079 0.02802862 0.02176432 0.01782314 0.01619765],[0.34855621 0.22812455 0.15519032 0.11626537 0.09348372 0.07828229],[0.16038769 0.16404892 0.11806732 0.08439165 0.06493583 0.05096357],[0.00208443 0.00893484 0.00909437 0.0101094  0.01072476 0.01112107],[0.1860841  0.05514079 0.02802862 0.02176432 0.01782314 0.01619765]
981,[0.25262978 0.20101104 0.13487938 0.10343438 0.07679304 0.06335376],[0.14960886 0.12222031 0.09080191 0.0690881  0.05262974 0.04091192],[0.00211985 0.00611196 0.00919271 0.00975208 0.01027178 0.01056961],[0.10090106 0.07267877 0.03488477 0.0245942  0.01389152 0.01187223],[0.25262978 0.20101104 0.13487938 0.10343438 0.07679304 0.06335376],[0.14960886 0.12222031 0.09080191 0.0690881  0.05262974 0.04091192],[0.00211985 0.00611196 0.00919271 0.00975208 0.01027178 0.01056961],[0.10090106 0.07267877 0.03488477 0.0245942  0.01389152 0.01187223]
982,[0.38057395 0.24273314 0.15145153 0.11804547 0.09575894 0.08006078],[0.14681926 0.16780284 0.11222865 0.08712285 0.06800356 0.05377297],[0.00206449 0.02926868 0.01411625 0.01129206 0.01071803 0.01082469],[0.23169021 0.04566162 0.02510663 0.01963056 0.01703734 0.01546311],[0.38057395 0.24273314 0.15145153 0.11804547 0.09575894 0.08006078],[0.14681926 0.16780284 0.11222865 0.08712285 0.06800356 0.05377297],[0.00206449 0.02926868 0.01411625 0.01129206 0.01071803 0.01082469],[0.23169021 0.04566162 0.02510663 0.01963056 0.01703734 0.01546311]
983,[0.26804336 0.23359428 0.14497688 0.11286838 0.08690033 0.07093433],[0.15479578 0.12263093 0.10510857 0.07808087 0.06036666 0.04715592],[0.0021052  0.00579767 0.00982647 0.01003862 0.01044529 0.01078203],[0.11114238 0.10516568 0.03004184 0.02474889 0.01608838 0.01299637],[0.26804336 0.23359428 0.14497688 0.11286838 0.08690033 0.07093433],[0.15479578 0.12263093 0.10510857 0.07808087 0.06036666 0.04715592],[0.0021052  0.00579767 0.00982647 0.01003862 0.01044529 0.01078203],[0.11114238 0.10516568 0.03004184 0.02474889 0.01608838 0.01299637]
984,[0.356187   0.26564799 0.11705554 0.09162852 0.07401131 0.06233929],[0.13024684 0.11415575 0.07875397 0.06089105 0.04839783 0.0387075 ],[0.00202607 0.03393859 0.01258736 0.01010836 0.00982083 0.00990024],[0.22391408 0.11755365 0.02571421 0.02062911 0.01579265 0.01373156],[0.356187   0.26564799 0.11705554 0.09162852 0.07401131 0.06233929],[0.13024684 0.11415575 0.07875397 0.06089105 0.04839783 0.0387075 ],[0.00202607 0.03393859 0.01258736 0.01010836 0.00982083 0.00990024],[0.22391408 0.11755365 0.02571421 0.02062911 0.01579265 0.01373156]
985,[0.347755   0.64488572 0.1844353  0.10329784 0.08381739 0.06883641],[0.15491754 0.12731375 0.13492806 0.0741099  0.05742534 0.04491453],[0.00206754 0.0122716  0.02246024 0.01016907 0.01020193 0.0102637 ],[0.19076992 0.5053004  0.02704699 0.01901887 0.01619012 0.01365817],[0.347755   0.64488572 0.1844353  0.10329784 0.08381739 0.06883641],[0.15491754 0.12731375 0.13492806 0.0741099  0.05742534 0.04491453],[0.00206754 0.0122716  0.02246024 0.01016907 0.01020193 0.0102637 ],[0.19076992 0.5053004  0.02704699 0.01901887 0.01619012 0.01365817]
986,[0.33846416 0.74126297 0.44478982 0.11543151 0.0916105  0.07640899],[0.15757622 0.13322023 0.12052899 0.08239217 0.059172   0.04742362],[0.00204214 0.01272609 0.03129627 0.01364394 0.01564758 0.01386994],[0.1788458  0.59531667 0.29296455 0.0193954  0.01679092 0.01511543],[0.33846416 0.74126297 0.44478982 0.11543151 0.0916105  0.07640899],[0.15757622 0.13322023 0.12052899 0.08239217 0.059172   0.04742362],[0.00204214 0.01272609 0.03129627 0.01364394 0.01564758 0.01386994],[0.1788458  0.59531667 0.29296455 0.0193954  0.01679092 0.01511543]
987,[0.34454736 0.21895103 0.14920285 0.1137859  0.09070612 0.07307985],[0.16616053 0.13731608 0.11500245 0.08567499 0.06367396 0.05058954],[0.00191785 0.01201538 0.00957679 0.00906932 0.01107027 0.00832164],[0.17646898 0.06961958 0.02462361 0.01904158 0.01596189 0.01416867],[0.34454736 0.21895103 0.14920285 0.1137859  0.09070612 0.07307985],[0.16616053 0.13731608 0.11500245 0.08567499 0.06367396 0.05058954],[0.00191785 0.01201538 0.00957679 0.00906932 0.01107027 0.00832164],[0.17646898 0.06961958 0.02462361 0.01904158 0.01596189 0.01416867]
988,[0.36612504 0.19783172 0.13510619 0.10513133 0.08496978 0.07033401],[0.15201301 0.13029122 0.09484933 0.07545925 0.05792429 0.0450958 ],[0.00219803 0.01424522 0.01277982 0.01292971 0.01326587 0.01348681],[0.211914   0.05329528 0.02747704 0.01674237 0.01377962 0.01175139],[0.36612504 0.19783172 0.13510619 0.10513133 0.08496978 0.07033401],[0.15201301 0.13029122 0.09484933 0.07545925 0.05792429 0.0450958 ],[0.00219803 0.01424522 0.01277982 0.01292971 0.01326587 0.01348681],[0.211914   0.05329528 0.02747704 0.01674237 0.01377962 0.01175139]
989,[0.34139745 0.18721199 0.13065148 0.10155144 0.08196397 0.06736038],[0.16071836 0.12571847 0.09760332 0.07397328 0.05711814 0.04448891],[0.00206857 0.00960745 0.00830569 0.00872018 0.00913464 0.00942946],[0.17861051 0.05188607 0.02474247 0.01885798 0.01571119 0.01344201],[0.34139745 0.18721199 0.13065148 0.10155144 0.08196397 0.06736038],[0.16071836 0.12571847 0.09760332 0.07397328 0.05711814 0.04448891],[0.00206857 0.00960745 0.00830569 0.00872018 0.00913464 0.00942946],[0.17861051 0.05188607 0.02474247 0.01885798 0.01571119 0.01344201]
990,[0.33774468 0.36978762 0.13907425 0.10029044 0.08289078 0.07198134],[0.16172391 0.15213138 0.10181519 0.07127892 0.05931392 0.04502124],[0.00194019 0.01009952 0.01085476 0.01513361 0.01079521 0.01559147],[0.17408057 0.20755673 0.02640431 0.0138779  0.01278166 0.01136864],[0.33774468 0.36978762 0.13907425 0.10029044 0.08289078 0.07198134],[0.16172391 0.15213138 0.10181519 0.07127892 0.05931392 0.04502124],[0.00194019 0.01009952 0.01085476 0.01513361 0.01079521 0.01559147],[0.17408057 0.20755673 0.02640431 0.0138779  0.01278166 0.01136864]
991,[0.23826797 0.15648297 0.10505364 0.0815347  0.06413369 0.0523302 ],[0.12643998 0.10441302 0.0764598  0.05763026 0.04403476 0.03389719],[0.00200129 0.00734217 0.00561526 0.00619593 0.00676868 0.00714375],[0.1098267  0.04472778 0.02297857 0.01770852 0.01333025 0.01128926],[0.23826797 0.15648297 0.10505364 0.0815347  0.06413369 0.0523302 ],[0.12643998 0.10441302 0.0764598  0.05763026 0.04403476 0.03389719],[0.00200129 0.00734217 0.00561526 0.00619593 0.00676868 0.00714375],[0.1098267  0.04472778 0.02297857 0.01770852 0.01333025 0.01128926]
992,[0.3329631  0.24103697 0.15285427 0.12810669 0.10284221 0.07699189],[0.13369327 0.12414779 0.10958698 0.07457643 0.06176539 0.0479546 ],[0.00203785 0.01267645 0.01289641 0.01927411 0.0130975  0.01350342],[0.19723199 0.10421273 0.03037089 0.03425614 0.02797932 0.01553386],[0.3329631  0.24103697 0.15285427 0.12810669 0.10284221 0.07699189],[0.13369327 0.12414779 0.10958698 0.07457643 0.06176539 0.0479546 ],[0.00203785 0.01267645 0.01289641 0.01927411 0.0130975  0.01350342],[0.19723199 0.10421273 0.03037089 0.03425614 0.02797932 0.01553386]
993,[0.49485481 0.27975957 0.18018212 0.12916199 0.10407715 0.08769349],[0.16936521 0.16700646 0.11259713 0.08964719 0.06750921 0.05418069],[0.00203145 0.0103198  0.03016488 0.0210273  0.02052554 0.01819298],[0.32345815 0.1024333  0.03742011 0.0184875  0.0160424  0.01531982],[0.49485481 0.27975957 0.18018212 0.12916199 0.10407715 0.08769349],[0.16936521 0.16700646 0.11259713 0.08964719 0.06750921 0.05418069],[0.00203145 0.0103198  0.03016488 0.0210273  0.02052554 0.01819298],[0.32345815 0.1024333  0.03742011 0.0184875  0.0160424  0.01531982]
994,[0.28241695 0.25400195 0.14840594 0.11015859 0.08786067 0.07211423],[0.15274919 0.1448937  0.10628192 0.08275641 0.06287093 0.04867589],[0.00197208 0.00708291 0.00912504 0.00898291 0.0095274  0.01001149],[0.12769569 0.10202535 0.03299897 0.01841928 0.01546234 0.01342685],[0.28241695 0.25400195 0.14840594 0.11015859 0.08786067 0.07211423],[0.15274919 0.1448937  0.10628192 0.08275641 0.06287093 0.04867589],[0.00197208 0.00708291 0.00912504 0.00898291 0.0095274  0.01001149],[0.12769569 0.10202535 0.03299897 0.01841928 0.01546234 0.01342685]
995,[0.28332433 0.16372147 0.12617264 0.10099515 0.08302119 0.06937217],[0.15798771 0.12482369 0.09450201 0.07281289 0.05680423 0.04470133],[0.00207642 0.00774579 0.0082954  0.00911839 0.00978873 0.01021092],[0.1232602  0.03115198 0.02337523 0.01906387 0.01642823 0.01445992],[0.28332433 0.16372147 0.12617264 0.10099515 0.08302119 0.06937217],[0.15798771 0.12482369 0.09450201 0.07281289 0.05680423 0.04470133],[0.00207642 0.00774579 0.0082954  0.00911839 0.00978873 0.01021092],[0.1232602  0.03115198 0.02337523 0.01906387 0.01642823 0.01445992]
996,[0.26616168 0.15857392 0.11706575 0.09789034 0.0794252  0.06544471],[0.15056365 0.11886806 0.08822703 0.0670744  0.05457145 0.04203703],[0.00202507 0.00568549 0.00659277 0.00764075 0.00886511 0.00931863],[0.11357296 0.03402038 0.02224595 0.02317519 0.01598864 0.01408904],[0.26616168 0.15857392 0.11706575 0.09789034 0.0794252  0.06544471],[0.15056365 0.11886806 0.08822703 0.0670744  0.05457145 0.04203703],[0.00202507 0.00568549 0.00659277 0.00764075 0.00886511 0.00931863],[0.11357296 0.03402038 0.02224595 0.02317519 0.01598864 0.01408904]
